CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
1.0,0.0,0.0,0.0,0.0,0.0,4800.0,150.05,154.85,4800.0,580,110400.0,0.05,0.6,7200.0,0.0,0.0,0.0,0.0,0.0,25.0
,,,,,,,,,,600,6000.0,0.15,0.45,3600.0,0.0,0.0,0.0,0.0,0.0,31.0
,,,,,,,,,,600,36000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,4800.0,110.45,115.15,4800.0,620,1200.0,0.15,0.95,12000.0,0.0,0.0,0.0,0.0,0.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,4800.0,106.95,119.35,4800.0,620,3600.0,0.25,8.25,4800.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,630,2400.0,0.25,0.35,4800.0,-0.10000000000000003,0.3,29.59,7.0,0.0,209.0
3.0,0.0,0.0,0.0,0.0,0.0,3600.0,89.5,96.1,3600.0,640,2400.0,0.3,0.4,2400.0,-0.10000000000000003,0.35,27.59,3.0,0.0,461.0
0.0,0.0,0.0,0.0,0.0,0.0,4800.0,87.45,99.6,4800.0,640,7200.0,0.3,8.25,4800.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,640,36000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,8400.0,80.5,85.55,3600.0,650,1200.0,0.45,0.9,2400.0,-0.09999999999999998,0.6,27.25,5.0,0.0,180.0
0.0,0.0,0.0,0.0,0.0,0.0,4800.0,76.85,89.7,4800.0,650,4800.0,0.3,8.4,4800.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.0,0.0,0.0,0.0,0.0,12000.0,70.7,76.25,6000.0,660,3600.0,0.65,0.7,1200.0,-0.20000000000000007,0.7,25.11,23.0,11.0,158.0
0.0,0.0,0.0,0.0,0.0,0.0,4800.0,66.7,79.65,4800.0,660,6000.0,0.3,8.25,4800.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,660,6000.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,12.0,23.0,0.0,63.65,1.1999999999999957,2400.0,63.4,64.15,1200.0,670,4800.0,0.95,1.05,2400.0,-0.3500000000000001,1.0,23.87,59.0,-14.0,109.0
0.0,0.0,0.0,0.0,0.0,0.0,4800.0,60.3,67.35,4800.0,670,1200.0,3.85,5.0,1200.0,0.0,4.0,23.99,1.0,0.0,27.0
30.0,14.0,34.0,21.08,54.4,-1.2000000000000028,1200.0,54.3,54.8,1200.0,680,1200.0,1.55,1.6,2400.0,-0.4999999999999998,1.55,23.06,145.0,-13.0,275.0
