CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,960,525.0,0.15,1.35,1050.0,0.0,0.0,0.0,0.0,0.0,61.0
2.0,0.0,0.0,0.0,0.0,0.0,525.0,250.6,259.7,1575.0,1000,5250.0,0.2,2.3,5250.0,0.0,0.0,0.0,0.0,0.0,24.0
,,,,,,,,,,1020,2625.0,0.2,2.3,2625.0,0.0,0.0,0.0,0.0,0.0,11.0
,,,,,,,,,,1040,525.0,0.75,1.65,525.0,-0.15000000000000013,1.65,42.42,5.0,0.0,27.0
,,,,,,,,,,1060,5250.0,0.9,3.0,2625.0,0.0,0.0,0.0,0.0,0.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,1575.0,169.3,180.6,2100.0,1080,5250.0,1.2,3.6,5250.0,0.0,0.0,0.0,0.0,0.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,2100.0,171.95,234.75,2100.0,1080,,,,,,,,,,
5.0,0.0,0.0,0.0,0.0,0.0,1050.0,151.5,160.05,525.0,1100,525.0,3.0,3.1,1575.0,1.3499999999999999,3.05,35.87,101.0,22.0,150.0
0.0,0.0,0.0,0.0,0.0,0.0,525.0,132.5,141.25,1575.0,1120,525.0,4.15,4.25,525.0,1.9499999999999997,4.1,34.73,57.0,6.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,2100.0,134.15,195.2,2100.0,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1575.0,114.2,123.05,1575.0,1140,525.0,5.95,6.1,1050.0,3.3,6.0,33.87,78.0,-5.0,97.0
8.0,0.0,0.0,0.0,0.0,0.0,525.0,98.6,103.9,2100.0,1160,525.0,8.55,8.75,1050.0,4.550000000000001,8.4,33.34,89.0,10.0,96.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.6,2100.0,1160,,,,,,,,,,
14.0,0.0,0.0,0.0,0.0,0.0,525.0,83.25,87.25,1575.0,1180,525.0,12.2,12.45,525.0,6.65,12.15,32.6,83.0,14.0,95.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.85,2100.0,1180,,,,,,,,,,
121.0,8.0,46.0,31.64,71.0,-39.75,525.0,70.05,71.05,525.0,1200,1050.0,17.05,17.35,525.0,8.750000000000002,16.85,32.2,981.0,-19.0,340.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,525.0,1200,0.0,0.0,51.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,-6.0,28.0,31.37,57.7,-40.3,525.0,56.6,57.5,525.0,1220,525.0,23.55,23.95,525.0,12.4,23.25,31.88,205.0,33.0,166.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.55,2100.0,1220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.0,32.0,128.0,31.19,46.0,-32.150000000000006,525.0,45.25,45.7,525.0,1240,1050.0,31.45,31.85,525.0,16.5,31.8,31.65,405.0,-45.0,172.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,525.0,1240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.0,56.0,325.0,31.02,35.8,-28.549999999999997,1050.0,35.0,35.35,525.0,1260,525.0,41.2,41.65,525.0,20.75,41.4,31.53,733.0,18.0,218.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.95,525.0,1260,525.0,30.1,89.95,2100.0,0.0,0.0,0.0,0.0,0.0,0.0
255.0,19.0,497.0,31.11,27.0,-24.549999999999997,525.0,26.8,27.0,2100.0,1280,1050.0,52.7,53.25,525.0,25.45,53.75,31.69,347.0,-12.0,157.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.8,2100.0,1280,1050.0,34.5,90.55,5250.0,0.0,0.0,0.0,0.0,0.0,0.0
735.0,69.0,1211.0,30.85,20.0,-19.799999999999997,1050.0,20.1,20.4,2100.0,1300,525.0,65.65,66.35,525.0,27.85000000000001,65.65,31.35,196.0,-1.0,343.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2,2100.0,1300,525.0,43.0,86.55,525.0,0.0,0.0,0.0,0.0,0.0,0.0
308.0,71.0,370.0,31.02,14.8,-16.15,1050.0,14.7,15.0,1575.0,1320,1050.0,80.1,81.05,1050.0,31.4,80.05,31.25,55.0,1.0,110.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,525.0,1320,2100.0,52.7,118.1,2625.0,0.0,0.0,0.0,0.0,0.0,0.0
238.0,23.0,361.0,31.19,10.8,-12.349999999999998,525.0,10.8,10.95,1575.0,1340,1050.0,95.95,96.9,525.0,31.9,95.25,31.7,20.0,-4.0,74.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,525.0,1340,2100.0,73.9,135.35,2625.0,0.0,0.0,0.0,0.0,0.0,0.0
387.0,86.0,547.0,31.3,7.75,-9.100000000000001,2625.0,7.7,7.9,3150.0,1360,525.0,112.15,116.45,1050.0,14.100000000000009,96.7,0.0,13.0,2.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.75,525.0,1360,2100.0,93.85,159.65,2100.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,12.0,174.0,31.38,5.8,-6.8,1575.0,5.6,5.75,525.0,1380,1575.0,126.55,135.8,525.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,525.0,1380,2625.0,113.55,155.2,2100.0,0.0,0.0,0.0,0.0,0.0,0.0
603.0,179.0,767.0,32.58,4.45,-4.45,3675.0,4.35,4.4,525.0,1400,1050.0,149.2,150.4,525.0,47.55000000000001,149.3,33.55,26.0,6.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25,525.0,1400,2625.0,133.3,178.6,2625.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,31.0,93.0,32.72,2.95,-3.45,1575.0,2.95,3.0,1050.0,1420,2100.0,165.6,173.1,525.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,2100.0,1420,2100.0,153.05,198.4,2625.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,-14.0,108.0,33.1,2.05,-2.45,1575.0,2.15,2.25,1050.0,1440,1575.0,182.65,192.2,525.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.45,5250.0,1440,2100.0,172.85,220.1,2625.0,0.0,0.0,0.0,0.0,0.0,0.0
253.0,-31.0,88.0,33.79,1.0,-1.0,525.0,0.9,1.1,2625.0,1480,1575.0,221.45,231.35,2100.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,525.0,1480,2625.0,211.05,246.45,2100.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,21000.0,0.2,1.8,4200.0,1520,1575.0,260.15,269.85,2100.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2100.0,1520,2100.0,251.95,289.55,2100.0,0.0,0.0,0.0,0.0,0.0,0.0
