CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1280,800,0.25,1.7,800,-1.0999999999999999,0.3,34.73,2,1,14
0.0,0.0,0.0,0.0,0.0,0.0,2400.0,245.05,259.1,3200.0,1320,8000,0.2,2.75,16000,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,3200.0,250.45,274.75,8000.0,1320,24000,0.15,15.0,800,0.0,0.0,0.0,0,0,0
13.0,0.0,0.0,0.0,0.0,0.0,3200.0,207.1,219.95,2400.0,1360,8000,0.8,3.0,800,0.0,0.0,0.0,0,0,11
0.0,0.0,0.0,0.0,0.0,0.0,3200.0,210.9,244.55,8000.0,1360,24000,0.15,24.0,800,0.0,0.0,0.0,0,0,0
25.0,-2.0,8.0,0.0,170.0,-29.19999999999999,800.0,170.55,175.5,800.0,1400,2400,2.25,2.45,800,-0.3500000000000001,2.3,29.6,60,-5,132
0.0,0.0,0.0,0.0,0.0,0.0,3200.0,172.3,210.65,8000.0,1400,800,1.1,30.0,800,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,148.55,158.65,800.0,1420,800,3.15,3.3,2400,-0.25,3.2,28.46,8,1,20
0.0,0.0,0.0,0.0,0.0,0.0,3200.0,149.85,198.25,3200.0,1420,24000,0.2,0.0,0,0.0,0.0,0.0,0,0,0
5.0,0.0,0.0,0.0,0.0,0.0,800.0,131.75,141.45,2400.0,1440,800,4.6,4.7,2400,-0.05000000000000071,4.6,27.77,65,-2,51
0.0,0.0,0.0,0.0,0.0,0.0,3200.0,130.95,181.55,8000.0,1440,0,0.0,38.55,3200,0.0,0.0,0.0,0,0,0
3.0,0.0,0.0,0.0,0.0,0.0,1600.0,113.8,122.85,800.0,1460,800,6.6,6.75,1600,-0.34999999999999964,6.5,27.2,64,14,70
0.0,0.0,0.0,0.0,0.0,0.0,3200.0,111.2,164.25,11200.0,1460,0,0.0,40.55,3200,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,0.0,0.0,800.0,98.9,103.35,800.0,1480,800,9.45,9.6,800,0.40000000000000036,9.5,27.01,42,-4,82
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,89.8,144.35,8000.0,1480,0,0.0,40.9,3200,0.0,0.0,0.0,0,0,1
16.0,3.0,10.0,23.13,83.5,-6.400000000000006,1600.0,83.7,86.1,1600.0,1500,800,13.25,13.55,800,0.5,13.3,26.67,95,3,231
0.0,0.0,0.0,0.0,0.0,0.0,3200.0,97.25,115.5,3200.0,1500,1600,25.0,34.95,800,0.0,0.0,0.0,0,0,6
2.0,0.0,0.0,0.0,0.0,0.0,4800.0,64.35,74.1,2400.0,1520,800,18.4,18.75,800,0.40000000000000213,18.85,26.35,46,-4,53
0.0,0.0,0.0,0.0,0.0,0.0,3200.0,71.8,121.05,3200.0,1520,3200,19.45,68.3,3200,0.0,0.0,0.0,0,0,1
16.0,3.0,26.0,23.97,56.0,-5.75,800.0,56.55,57.65,1600.0,1540,800,25.05,25.45,800,0.9500000000000028,25.35,26.51,97,2,230
0.0,0.0,0.0,0.0,0.0,0.0,3200.0,55.95,121.1,3200.0,1540,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
