CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1760,275.0,0.15,2.55,1375.0,0.0,0.0,0.0,0.0,0.0,2.0
,,,,,,,,,,1840,275.0,0.5,1.6,2200.0,0.0,0.0,0.0,0.0,0.0,6.0
,,,,,,,,,,1880,275.0,0.65,1.25,275.0,-1.15,0.5,55.46,1.0,0.0,9.0
,,,,,,,,,,1920,6875.0,0.3,1.8,1375.0,0.0,0.0,0.0,0.0,0.0,17.0
,,,,,,,,,,1960,4125.0,0.4,1.7,2750.0,0.0,0.0,0.0,0.0,0.0,13.0
,,,,,,,,,,2000,2750.0,0.6,1.6,2750.0,0.0,0.0,0.0,0.0,0.0,56.0
,,,,,,,,,,2020,2750.0,0.5,1.95,1375.0,0.0,0.0,0.0,0.0,0.0,10.0
,,,,,,,,,,2040,2750.0,0.5,2.0,1375.0,0.0,0.0,0.0,0.0,0.0,17.0
,,,,,,,,,,2060,1375.0,0.65,2.45,2750.0,0.0,0.0,0.0,0.0,0.0,11.0
,,,,,,,,,,2080,4125.0,0.75,2.15,1375.0,0.0,0.0,0.0,0.0,0.0,2.0
9.0,0.0,0.0,0.0,0.0,0.0,1650.0,512.85,555.95,825.0,2100,275.0,1.1,1.9,5500.0,0.0,0.0,0.0,0.0,0.0,90.0
,,,,,,,,,,2120,2750.0,0.85,2.45,1375.0,0.0,0.0,0.0,0.0,0.0,19.0
,,,,,,,,,,2140,2750.0,0.95,2.6,2750.0,0.0,0.0,0.0,0.0,0.0,16.0
1.0,0.0,0.0,0.0,0.0,0.0,1100.0,471.25,492.7,1100.0,2160,2750.0,1.05,2.75,2750.0,0.0,0.0,0.0,0.0,0.0,20.0
