CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,1125.0,241.6,252.8,1500.0,1200,375.0,0.95,2.5,375.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,244.7,308.55,375.0,1200,9000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1200,15000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1125.0,221.9,237.1,1500.0,1220,375.0,0.55,4.9,1875.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,226.4,289.1,375.0,1220,9000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1125.0,203.6,213.05,1500.0,1240,375.0,2.3,2.65,750.0,0.2999999999999998,2.8,40.01,40.0,0.0,249.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,206.6,270.05,3750.0,1240,9000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,375.0,184.5,195.15,375.0,1260,375.0,2.8,4.4,375.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,185.4,249.6,1500.0,1260,9000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,375.0,166.4,177.4,375.0,1280,375.0,4.35,4.7,375.0,0.40000000000000036,5.0,38.34,9.0,1.0,215.0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,165.65,229.8,1500.0,1280,,,,,,,,,,
10.0,3.0,6.0,0.0,151.35,-13.700000000000017,375.0,152.7,155.95,375.0,1300,750.0,6.35,6.5,750.0,0.09999999999999964,6.5,37.65,195.0,11.0,240.0
