CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,2000,250.0,0.6,1.4,250.0,0.0,0.0,0.0,0.0,0.0,44.0
,,,,,,,,,,2000,250.0,1.25,2.75,500.0,0.0,0.0,0.0,0.0,0.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,389.55,406.95,1000.0,2040,12000.0,0.1,2.0,250.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,312.45,480.15,250.0,2040,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,2500.0,348.7,367.0,1000.0,2080,2500.0,0.25,1.85,250.0,0.0,0.0,0.0,0.0,0.0,57.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,274.75,440.55,250.0,2080,6000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,2100,500.0,0.5,1.9,250.0,0.0,0.0,0.0,0.0,0.0,113.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,311.8,328.5,750.0,2120,500.0,0.3,1.1,500.0,0.0,1.0,27.66,1.0,0.0,320.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,238.2,401.0,250.0,2120,250.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,289.55,310.05,750.0,2140,2750.0,0.35,2.35,1250.0,0.0,0.0,0.0,0.0,0.0,353.0
0.0,0.0,0.0,0.0,0.0,0.0,1250.0,220.5,381.4,250.0,2140,6000.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,500.0,269.9,291.7,750.0,2160,1500.0,0.7,3.0,500.0,0.0,0.0,0.0,0.0,0.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,282.6,321.55,1000.0,2160,6000.0,0.15,22.25,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,253.0,269.0,750.0,2180,250.0,1.0,2.5,250.0,0.0,0.0,0.0,0.0,0.0,70.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,262.8,300.4,1000.0,2180,6000.0,0.15,23.5,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,1000.0,233.15,248.3,1000.0,2200,1250.0,1.75,1.9,250.0,-0.6500000000000001,1.8,23.8,63.0,-14.0,535.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,245.9,272.45,1000.0,2200,500.0,3.0,15.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,2200,250.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1250.0,212.5,230.2,750.0,2220,750.0,2.2,2.35,500.0,-0.75,2.3,22.9,5.0,-4.0,114.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,221.3,267.2,1000.0,2220,6000.0,0.2,27.25,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,194.6,210.95,750.0,2240,750.0,2.9,3.05,250.0,-0.8500000000000001,3.0,22.33,56.0,-13.0,108.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,203.5,246.95,1000.0,2240,6000.0,0.2,29.4,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,173.65,193.15,250.0,2260,1000.0,3.9,4.05,1000.0,-1.5,3.8,21.61,32.0,-2.0,166.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,183.75,232.0,1000.0,2260,6000.0,0.2,31.6,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,250.0,158.3,171.05,500.0,2280,750.0,5.2,5.45,500.0,-1.6000000000000005,5.3,21.4,38.0,4.0,94.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,160.6,210.75,1000.0,2280,0.0,0.0,30.65,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
93.0,-2.0,6.0,16.45,146.45,7.649999999999977,750.0,143.45,145.05,250.0,2300,1000.0,7.05,7.2,500.0,-2.249999999999999,6.95,20.94,69.0,-15.0,605.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,157.65,182.2,1000.0,2300,250.0,17.0,21.6,250.0,-4.949999999999999,17.05,20.2,1.0,0.0,38.0
29.0,0.0,0.0,0.0,0.0,0.0,250.0,124.15,134.05,1000.0,2320,250.0,9.5,9.75,250.0,-2.6999999999999993,9.65,20.65,23.0,4.0,160.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,135.0,179.7,1000.0,2320,0.0,0.0,39.85,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,0.0,23.0,17.4,112.05,6.049999999999997,250.0,109.5,110.65,250.0,2340,250.0,12.75,12.95,250.0,-3.6500000000000004,12.25,20.21,99.0,-26.0,489.0
0.0,0.0,0.0,0.0,0.0,0.0,2500.0,114.05,167.9,1250.0,2340,0.0,0.0,44.85,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,-8.0,43.0,17.69,94.65,4.1000000000000085,250.0,94.5,95.1,250.0,2360,500.0,16.9,17.2,250.0,-4.350000000000001,16.5,20.13,269.0,-46.0,233.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,97.95,153.55,1250.0,2360,0.0,0.0,50.3,1000.0,0.0,0.0,0.0,0.0,0.0,3.0
137.0,5.0,36.0,17.82,81.55,4.75,250.0,79.3,80.25,250.0,2380,500.0,22.3,22.7,500.0,-5.300000000000001,22.0,19.91,212.0,-4.0,389.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,88.5,138.55,1250.0,2380,0.0,0.0,56.7,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
