CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,63.0,65.4,6000.0,280,63000.0,0.05,0.1,163500.0,0.0,0.1,37.43,2.0,0.0,107.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,61.45,64.15,6000.0,280,6000.0,0.45,0.5,4500.0,0.0,0.0,0.0,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,4500.0,53.0,55.2,6000.0,290,28500.0,0.05,0.1,528000.0,0.0,0.05,29.29,271.0,-79.0,890.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,51.95,55.4,6000.0,290,1500.0,0.5,1.6,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,6000.0,48.1,50.65,6000.0,295,,,,,,,,,,
135.0,0.0,1.0,0.0,45.0,1.5,1500.0,44.1,44.8,1500.0,300,501000.0,0.1,0.15,106500.0,0.0,0.15,28.09,71.0,2.0,490.0
3.0,0.0,0.0,0.0,0.0,0.0,3000.0,42.6,44.75,6000.0,300,3000.0,0.95,1.0,4500.0,-0.10000000000000009,1.0,27.62,17.0,-1.0,93.0
,,,,,,,,,,300,1500.0,0.55,9.9,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,0.0,0.0,0.0,0.0,6000.0,38.5,40.45,6000.0,305,16500.0,0.15,0.2,78000.0,-0.04999999999999999,0.2,25.29,9.0,-1.0,158.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,36.8,42.1,15000.0,305,1500.0,0.1,3.1,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
149.0,1.0,3.0,0.0,35.0,1.0,1500.0,34.3,35.15,1500.0,310,210000.0,0.2,0.25,12000.0,-0.09999999999999998,0.25,24.48,131.0,-65.0,436.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,33.0,35.6,6000.0,310,3000.0,1.55,1.65,1500.0,-0.44999999999999973,1.6,26.26,9.0,-4.0,140.0
,,,,,,,,,,310,22500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,0.0,0.0,0.0,0.0,0.0,15000.0,28.4,30.8,10500.0,315,85500.0,0.3,0.35,24000.0,-0.15000000000000002,0.3,22.25,84.0,-12.0,339.0
0.0,0.0,0.0,0.0,0.0,0.0,7500.0,28.45,31.4,6000.0,315,1500.0,2.0,2.25,1500.0,0.0,0.0,0.0,0.0,0.0,2.0
357.0,4.0,89.0,0.0,24.9,0.6999999999999993,1500.0,24.75,24.9,1500.0,320,19500.0,0.45,0.5,129000.0,-0.2,0.45,20.87,489.0,-12.0,1138.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,24.65,27.0,6000.0,320,1500.0,2.8,2.9,24000.0,-0.44999999999999973,2.85,24.98,25.0,19.0,39.0
,,,,,,,,,,320,22500.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249.0,-12.0,39.0,0.0,19.8,0.1999999999999993,1500.0,20.05,20.2,3000.0,325,37500.0,0.7,0.75,21000.0,-0.30000000000000004,0.75,19.97,274.0,2.0,864.0
0.0,0.0,0.0,0.0,0.0,0.0,15000.0,18.3,25.7,6000.0,325,6000.0,1.55,5.25,1500.0,0.0,0.0,0.0,0.0,0.0,0.0
757.0,-51.0,271.0,0.0,15.7,0.3999999999999986,1500.0,15.6,15.75,7500.0,330,33000.0,1.2,1.25,85500.0,-0.5,1.2,19.16,1233.0,16.0,1783.0
15.0,-1.0,4.0,10.64,19.2,1.6499999999999986,1500.0,18.2,18.95,1500.0,330,3000.0,5.15,5.35,1500.0,-0.5499999999999998,5.25,25.17,36.0,15.0,125.0
,,,,,,,,,,330,3000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1187.0,-99.0,555.0,7.49,11.5,0.1999999999999993,4500.0,11.5,11.6,4500.0,335,4500.0,2.1,2.15,34500.0,-0.6999999999999997,2.1,18.78,1438.0,-78.0,1334.0
19.0,-1.0,3.0,13.88,15.9,1.8000000000000007,1500.0,15.0,15.75,1500.0,335,1500.0,6.85,7.15,3000.0,-0.5499999999999998,7.0,25.57,2.0,0.0,7.0
4377.0,-470.0,3744.0,11.76,7.95,0.0,22500.0,7.85,7.95,3000.0,340,18000.0,3.45,3.55,34500.0,-0.7999999999999998,3.5,18.54,2740.0,536.0,1806.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11.05,13.15,3000.0,340,1500.0,8.95,9.0,1500.0,-0.5,9.15,26.15,14.0,9.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,3000.0,10.0,0.0,0.0,340,3000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15657.0,998.0,7833.0,12.35,4.85,-0.20000000000000018,15000.0,4.8,4.85,9000.0,345,6000.0,5.35,5.45,9000.0,-1.0499999999999998,5.4,18.09,2963.0,962.0,2994.0
45.0,27.0,35.0,15.48,9.95,0.14999999999999858,3000.0,9.8,10.15,4500.0,345,1500.0,10.35,13.05,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
7050.0,1097.0,8752.0,12.94,2.8,-0.25,31500.0,2.8,2.85,75000.0,350,7500.0,8.25,8.35,1500.0,-1.049999999999999,8.3,19.07,888.0,173.0,684.0
211.0,12.0,68.0,16.47,7.9,0.20000000000000018,1500.0,7.7,7.95,1500.0,350,1500.0,14.15,14.65,1500.0,-2.1999999999999993,14.3,27.12,12.0,9.0,10.0
2.0,0.0,0.0,0.0,0.0,0.0,3000.0,10.05,14.0,1500.0,350,,,,,,,,,,
2001.0,293.0,2466.0,13.79,1.6,-0.25,27000.0,1.6,1.65,66000.0,355,1500.0,12.05,12.15,3000.0,-1.049999999999999,12.05,21.05,159.0,11.0,127.0
2.0,0.0,1.0,17.46,6.3,0.39999999999999947,1500.0,5.85,6.3,1500.0,355,6000.0,16.55,19.35,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
3323.0,37.0,3250.0,14.61,0.9,-0.20000000000000007,36000.0,0.9,0.95,175500.0,360,1500.0,16.3,16.4,1500.0,-1.0,16.25,23.23,96.0,7.0,379.0
106.0,19.0,64.0,17.66,4.7,0.0,1500.0,4.6,4.75,4500.0,360,1500.0,20.6,21.4,3000.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6.55,0.0,0.0,360,,,,,,,,,,
294.0,-7.0,477.0,15.75,0.55,-0.1499999999999999,82500.0,0.5,0.6,87000.0,365,1500.0,20.95,21.1,1500.0,-0.8000000000000007,21.15,25.95,21.0,0.0,74.0
0.0,0.0,0.0,0.0,0.0,0.0,3000.0,2.9,4.15,6000.0,365,7500.0,21.85,28.35,7500.0,0.0,0.0,0.0,0.0,0.0,0.0
820.0,-15.0,992.0,17.41,0.35,-0.10000000000000003,121500.0,0.35,0.4,205500.0,370,1500.0,25.7,25.85,1500.0,-0.6999999999999993,25.95,29.05,37.0,0.0,82.0
39.0,9.0,19.0,18.22,2.55,-0.10000000000000009,3000.0,2.55,2.7,3000.0,370,6000.0,28.1,30.15,3000.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,1.0,0.0,0.0,370,,,,,,,,,,
147.0,-3.0,71.0,17.61,0.2,-0.09999999999999998,96000.0,0.2,0.25,4500.0,375,6000.0,29.45,32.1,10500.0,0.0,0.0,0.0,0.0,0.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,3000.0,1.5,2.45,4500.0,375,7500.0,30.3,35.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
1752.0,-90.0,695.0,19.98,0.2,0.0,1102500.0,0.15,0.2,52500.0,380,1500.0,34.9,35.7,1500.0,-1.0500000000000043,34.9,31.32,12.0,-2.0,1345.0
73.0,0.0,8.0,19.44,1.5,0.050000000000000044,3000.0,1.4,1.5,1500.0,380,3000.0,36.65,39.0,3000.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,3000.0,2.1,0.0,0.0,380,,,,,,,,,,
330.0,-16.0,50.0,22.1,0.1,-0.04999999999999999,286500.0,0.1,0.15,61500.0,390,1500.0,45.0,45.7,1500.0,-2.3999999999999986,45.2,38.94,18.0,-4.0,436.0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.6,1.3,9000.0,390,4500.0,46.0,48.8,1500.0,-6.75,46.0,36.19,7.0,6.0,6.0
