CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,9375.0,41.55,43.6,12500.0,170.0,50000.0,0.05,0.1,6250.0,-0.15,0.1,43.27,11.0,-3.0,52.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,39.85,44.9,31250.0,170.0,3125.0,0.05,3.7,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,12500.0,36.85,38.7,12500.0,175.0,18750.0,0.1,0.15,12500.0,-0.1,0.15,38.52,12.0,4.0,57.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,34.8,39.9,12500.0,175.0,6250.0,0.05,3.7,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,12500.0,34.4,36.15,12500.0,177.5,6250.0,0.1,0.25,9375.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,32.15,37.6,12500.0,177.5,6250.0,0.05,3.7,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,2.0,0.0,31.35,8.850000000000001,3125.0,32.45,33.05,3125.0,180.0,78125.0,0.15,0.2,40625.0,-0.25,0.2,37.73,122.0,-31.0,162.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,31250.0,180.0,3125.0,0.25,3.7,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,1.0,0.0,23.75,2.8000000000000007,3125.0,29.75,30.8,3125.0,182.5,12500.0,0.2,0.6,3125.0,-0.75,0.15,0.0,1.0,0.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,27.7,32.55,12500.0,182.5,3125.0,0.25,3.7,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,-2.0,5.0,0.0,25.05,6.350000000000001,3125.0,27.55,28.3,3125.0,185.0,118750.0,0.3,0.35,53125.0,-0.6000000000000001,0.3,36.31,189.0,-84.0,113.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,25.0,30.5,12500.0,185.0,3125.0,0.25,4.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,-1.0,8.0,0.0,22.7,6.349999999999998,3125.0,25.25,25.85,3125.0,187.5,3125.0,0.4,0.45,9375.0,-0.7999999999999999,0.4,34.56,55.0,-8.0,51.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,22.85,27.6,12500.0,187.5,3125.0,0.35,3.7,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,0.0,21.0,0.0,22.7,8.2,6250.0,22.9,23.2,6250.0,190.0,65625.0,0.5,0.55,56250.0,-1.0999999999999999,0.55,34.19,676.0,-8.0,584.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,22.0,24.3,31250.0,190.0,3125.0,2.1,2.95,6250.0,-2.0999999999999996,2.25,35.53,5.0,0.0,9.0
,,,,,,,,,,190.0,3125.0,3.55,7.0,9375.0,-4.3,4.2,36.56,1.0,0.0,4.0
15.0,-3.0,14.0,0.0,19.55,7.5,3125.0,20.6,20.85,3125.0,192.5,6250.0,0.7,0.75,12500.0,-1.4,0.75,33.86,77.0,-16.0,67.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,18.95,24.7,12500.0,192.5,12500.0,1.35,7.15,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,-1.0,40.0,0.0,18.0,7.4,3125.0,18.35,18.6,3125.0,195.0,34375.0,0.95,1.0,43750.0,-1.7,0.95,33.45,469.0,-28.0,254.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,16.25,23.75,3125.0,195.0,12500.0,1.35,7.15,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,-2.0,29.0,0.0,16.5,7.5,3125.0,16.2,16.45,3125.0,197.5,9375.0,1.3,1.35,9375.0,-2.3,1.3,33.32,98.0,-3.0,86.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,13.9,21.1,12500.0,197.5,12500.0,1.35,7.15,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
566.0,-119.0,786.0,0.0,14.5,6.95,6250.0,14.2,14.4,6250.0,200.0,59375.0,1.7,1.8,53125.0,-2.8,1.75,33.26,1126.0,134.0,799.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,14.35,17.35,3125.0,200.0,3125.0,4.35,6.4,3125.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,0.1,0.0,0.0,200.0,,,,,,,,,,
104.0,-49.0,295.0,0.0,12.5,6.25,3125.0,12.3,12.5,9375.0,202.5,9375.0,2.3,2.4,12500.0,-3.4499999999999997,2.35,33.16,152.0,-10.0,54.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,11.25,17.9,12500.0,202.5,12500.0,3.65,8.95,3125.0,0.0,0.0,0.0,0.0,0.0,0.0
608.0,-195.0,1455.0,17.71,10.55,5.450000000000001,6250.0,10.55,10.7,6250.0,205.0,46875.0,3.0,3.05,3125.0,-4.15,3.0,33.54,843.0,187.0,396.0
10.0,-1.0,13.0,12.71,12.0,3.5,6250.0,11.55,13.0,6250.0,205.0,12500.0,4.75,8.1,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,0.05,0.0,0.0,205.0,,,,,,,,,,
87.0,-6.0,765.0,20.68,9.1,5.0,6250.0,8.95,9.1,3125.0,207.5,9375.0,3.9,4.05,15625.0,-4.75,3.9,34.24,230.0,34.0,81.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,8.85,12.3,12500.0,207.5,12500.0,4.75,10.0,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
976.0,-251.0,5315.0,22.72,7.45,4.15,6250.0,7.45,7.5,3125.0,210.0,6250.0,5.0,5.1,34375.0,-5.2,5.05,34.69,1093.0,120.0,408.0
17.0,9.0,17.0,18.27,9.3,3.0500000000000007,9375.0,9.3,9.9,3125.0,210.0,31250.0,7.7,9.65,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,0.05,0.0,0.0,210.0,,,,,,,,,,
162.0,43.0,942.0,24.15,6.45,3.85,18750.0,6.3,6.45,9375.0,212.5,6250.0,6.25,6.35,3125.0,-5.85,6.25,35.9,113.0,18.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,5.1,10.75,12500.0,212.5,12500.0,7.3,12.95,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
395.0,49.0,1934.0,25.5,5.35,3.2499999999999996,50000.0,5.3,5.4,40625.0,215.0,9375.0,7.65,7.8,9375.0,-6.4,7.65,36.66,87.0,-9.0,42.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,4.35,9.8,3125.0,215.0,12500.0,7.65,15.3,15625.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,0.05,0.0,0.0,215.0,,,,,,,,,,
109.0,12.0,190.0,26.68,4.55,2.8499999999999996,15625.0,4.4,4.5,6250.0,217.5,9375.0,9.25,9.4,3125.0,-6.999999999999998,9.15,38.25,41.0,-8.0,56.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,2.95,10.3,12500.0,217.5,15625.0,8.65,17.1,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
879.0,-22.0,2680.0,27.33,3.75,2.45,6250.0,3.7,3.75,34375.0,220.0,25000.0,10.95,11.15,6250.0,-7.300000000000001,11.0,39.29,101.0,-15.0,52.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,5.4,6.75,3125.0,220.0,15625.0,13.3,16.35,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,0.05,0.0,0.0,220.0,,,,,,,,,,
56.0,30.0,125.0,28.57,3.05,2.05,12500.0,3.0,3.1,6250.0,222.5,9375.0,12.8,13.0,3125.0,-7.900000000000002,12.95,40.83,12.0,3.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,31250.0,0.9,7.2,12500.0,222.5,12500.0,12.55,19.55,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
171.0,34.0,457.0,29.2,2.5,1.7,3125.0,2.5,2.55,21875.0,225.0,9375.0,14.75,14.95,3125.0,-7.9,14.85,41.68,22.0,9.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,0.8,7.2,12500.0,225.0,12500.0,14.15,21.85,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,0.05,0.0,0.0,225.0,,,,,,,,,,
31.0,16.0,72.0,29.83,2.05,1.3499999999999999,18750.0,2.0,2.1,9375.0,227.5,3125.0,16.8,17.0,3125.0,-3.0500000000000007,16.7,0.0,1.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,0.8,7.15,3125.0,227.5,12500.0,16.65,24.5,31250.0,0.0,0.0,0.0,0.0,0.0,0.0
305.0,-16.0,1348.0,30.58,1.7,1.15,75000.0,1.65,1.75,100000.0,230.0,3125.0,18.9,19.1,3125.0,-9.649999999999999,19.35,45.74,22.0,14.0,59.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,1.55,6.3,3125.0,230.0,12500.0,19.85,26.5,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,0.05,0.0,0.0,230.0,,,,,,,,,,
0.0,0.0,4.0,23.69,1.4,-3.1999999999999997,6250.0,1.35,1.45,9375.0,232.5,3125.0,21.05,21.3,3125.0,-9.05,22.05,50.38,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,12500.0,0.25,6.2,3125.0,232.5,12500.0,21.05,29.35,3125.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,7.0,150.0,32.18,1.1,0.8500000000000001,21875.0,1.1,1.2,31250.0,235.0,6250.0,23.3,23.65,3125.0,-8.3,23.45,47.19,1.0,0.0,12.0
0.0,0.0,1.0,27.52,2.65,-3.8000000000000003,6250.0,1.05,5.0,6250.0,235.0,12500.0,24.2,30.05,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,0.7,1.1,3125.0,237.5,3125.0,24.65,26.7,3125.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,12500.0,237.5,12500.0,25.1,33.75,12500.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,4.0,148.0,33.56,0.75,0.5,12500.0,0.75,0.8,46875.0,240.0,3125.0,27.1,28.95,3125.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,1.0,30.75,2.5,-2.95,6250.0,0.8,4.0,9375.0,240.0,15625.0,17.4,48.7,3125.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3125.0,0.35,0.8,3125.0,242.5,3125.0,29.2,31.4,3125.0,0.0,0.0,0.0,0.0,0.0,0.0
