CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1520,700.0,0.5,2.0,700.0,0.0,0.0,0.0,0.0,0.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,275.2,291.8,1400.0,1560,1050.0,0.8,4.8,350.0,0.0,0.0,0.0,0.0,0.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,257.65,322.65,3500.0,1560,7000.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1580,4900.0,1.55,5.25,350.0,0.0,0.0,0.0,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,350.0,238.1,249.95,350.0,1600,350.0,3.1,4.65,350.0,0.19999999999999973,3.4,36.05,32.0,2.0,159.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,219.95,283.1,3500.0,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1620,700.0,4.25,4.45,350.0,-0.9000000000000004,4.85,36.25,30.0,1.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,1050.0,198.5,211.6,350.0,1640,350.0,5.05,6.25,350.0,0.0,0.0,0.0,0.0,0.0,62.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,178.7,250.2,350.0,1640,0.0,0.0,42.4,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,350.0,180.2,194.65,350.0,1660,1050.0,7.2,7.5,350.0,1.3500000000000005,7.9,35.1,14.0,6.0,43.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,160.6,224.05,350.0,1660,0.0,0.0,36.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,350.0,164.35,176.1,350.0,1680,350.0,9.4,9.75,350.0,2.5999999999999996,10.5,35.07,26.0,5.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,140.8,203.9,350.0,1680,0.0,0.0,36.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
