CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
1.0,0.0,0.0,0.0,0.0,0.0,1400.0,277.45,291.65,1400.0,1240,350.0,0.55,1.9,350.0,-2.05,0.85,39.98,13.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,243.8,0.0,0.0,1240,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,1050.0,236.7,253.2,1050.0,1280,5250.0,0.9,3.15,350.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,212.2,0.0,0.0,1280,,,,,,,,,,
,,,,,,,,,,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1300,700.0,2.55,2.75,700.0,1.25,2.5,38.53,526.0,-13.0,249.0
3.0,0.0,0.0,0.0,0.0,0.0,700.0,200.2,212.5,700.0,1320,350.0,3.55,3.8,700.0,2.25,3.55,38.21,76.0,12.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,198.6,256.85,1400.0,1320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,350.0,181.45,194.35,1050.0,1340,350.0,3.8,6.05,350.0,-4.800000000000001,5.0,37.97,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,181.4,243.15,1750.0,1340,0.0,0.0,42.4,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1050.0,162.7,175.4,1050.0,1360,1050.0,6.55,6.85,700.0,3.8000000000000003,6.65,36.85,190.0,5.0,77.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,159.0,223.35,1750.0,1360,0.0,0.0,42.4,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,350.0,146.2,157.1,1050.0,1380,350.0,8.8,9.1,700.0,2.3,8.75,36.67,93.0,18.0,32.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,143.1,204.65,1750.0,1380,0.0,0.0,44.3,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
