CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,3100,175.0,0.15,4.4,875.0,0.0,0.0,0.0,0.0,0.0,20.0
27.0,0.0,1.0,46.58,700.0,10.0,175.0,672.05,697.45,525.0,3500,875.0,0.5,4.5,175.0,0.0,0.0,0.0,0.0,0.0,57.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,668.6,0.0,0.0,3500,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,525.0,569.95,599.1,700.0,3600,175.0,1.65,4.95,175.0,-4.949999999999999,2.65,31.37,3.0,0.0,47.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,571.7,0.0,0.0,3600,350.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,3650,175.0,2.5,8.3,875.0,0.0,0.0,0.0,0.0,0.0,49.0
1.0,0.0,0.0,0.0,0.0,0.0,700.0,473.85,502.9,700.0,3700,175.0,3.0,10.2,175.0,-0.5999999999999996,4.45,29.05,2.0,0.0,86.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,472.75,0.0,0.0,3700,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,525.0,423.0,456.75,175.0,3750,875.0,4.0,13.35,875.0,0.0,0.0,0.0,0.0,0.0,56.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,423.3,0.0,0.0,3750,,,,,,,,,,
3.0,0.0,0.0,0.0,0.0,0.0,175.0,377.95,407.15,350.0,3800,175.0,8.05,8.5,350.0,-3.0500000000000007,9.0,27.8,47.0,-5.0,147.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,372.55,0.0,0.0,3800,,,,,,,,,,
7.0,0.0,0.0,0.0,0.0,0.0,525.0,330.8,360.35,175.0,3850,175.0,9.2,14.2,175.0,0.0,0.0,0.0,0.0,0.0,55.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,324.35,0.0,0.0,3850,,,,,,,,,,
