CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0,0,0,0.0,0.0,0.0,1950,177.5,185.9,2600,920,8450.0,0.6,0.8,1300.0,-1.4500000000000002,0.65,36.47,7.0,-5.0,124.0
0,0,0,0.0,0.0,0.0,2600,177.9,208.65,2600,920,650.0,0.5,22.35,1300.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,0.0,0.0,0.0,2600,141.05,147.3,650,960,1950.0,1.85,2.0,1300.0,-0.8999999999999999,1.85,35.14,14.0,0.0,101.0
0,0,0,0.0,0.0,0.0,2600,141.8,172.2,6500,960,650.0,4.0,24.5,650.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,0.0,0.0,0.0,1300,123.0,128.4,650,980,3250.0,3.05,3.25,1950.0,-1.3500000000000005,3.05,34.63,15.0,5.0,87.0
0,0,0,0.0,0.0,0.0,2600,126.65,157.8,2600,980,2600.0,8.75,31.25,2600.0,0.0,0.0,0.0,0.0,0.0,0.0
24,3,29,33.78,110.3,13.75,1300,107.1,108.4,650,1000,1950.0,4.85,5.05,1300.0,-1.9000000000000004,4.8,34.01,111.0,24.0,508.0
0,0,0,0.0,0.0,0.0,2600,111.8,135.75,3250,1000,650.0,14.25,15.5,4550.0,-4.050000000000001,14.95,34.84,9.0,0.0,44.0
15,1,3,30.37,91.25,6.450000000000003,1950,90.0,91.35,650,1020,1300.0,7.75,8.0,1300.0,-1.8000000000000007,8.2,34.72,126.0,0.0,203.0
0,0,0,0.0,0.0,0.0,2600,89.85,144.6,2600,1020,0.0,0.0,66.35,2600.0,0.0,0.0,0.0,0.0,0.0,18.0
11,4,26,28.53,73.6,2.549999999999997,650,74.2,75.6,650,1040,650.0,11.9,12.2,650.0,-2.75,12.0,34.16,34.0,-2.0,343.0
0,0,0,0.0,0.0,0.0,2600,69.85,144.6,2600,1040,0.0,0.0,77.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0
180,-7,34,31.36,61.0,5.850000000000001,650,59.85,61.1,650,1060,1300.0,17.4,17.8,650.0,-4.0,17.35,33.9,67.0,4.0,197.0
0,0,0,0.0,0.0,0.0,2600,49.85,108.35,650,1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,-2,95,29.66,46.3,3.6999999999999957,650,47.45,48.25,650,1080,650.0,24.6,25.0,650.0,-4.75,24.65,34.04,78.0,-5.0,153.0
0,0,0,0.0,0.0,0.0,0,0.0,89.8,650,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,8,540,30.78,36.9,5.0,650,36.55,36.7,650,1100,650.0,33.5,33.85,650.0,-5.75,33.85,34.34,116.0,4.0,287.0
0,0,0,0.0,0.0,0.0,0,0.0,71.75,650,1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,-8,291,31.29,28.0,4.0,650,27.6,28.05,650,1120,650.0,44.3,44.65,650.0,-4.949999999999996,45.85,35.66,50.0,5.0,154.0
0,0,0,0.0,0.0,0.0,0,0.0,73.35,650,1120,0.0,0.0,116.65,650.0,0.0,0.0,0.0,0.0,0.0,0.0
419,-12,199,31.03,20.4,3.849999999999998,1300,20.15,20.4,1300,1140,650.0,56.55,57.35,650.0,-6.149999999999999,57.0,34.66,44.0,2.0,104.0
0,0,0,0.0,0.0,0.0,0,0.0,65.8,650,1140,0.0,0.0,132.65,3250.0,0.0,0.0,0.0,0.0,0.0,0.0
229,-8,94,31.27,14.3,2.1000000000000014,1300,14.45,14.8,1300,1160,650.0,70.1,76.9,650.0,0.0,0.0,0.0,0.0,0.0,34.0
1,0,0,0.0,0.0,0.0,0,0.0,56.75,650,1160,0.0,0.0,149.75,3250.0,0.0,0.0,0.0,0.0,0.0,0.0
137,-12,86,30.96,10.2,1.5999999999999996,650,10.35,10.4,650,1180,650.0,84.75,90.7,650.0,-14.0,81.45,29.16,1.0,0.0,21.0
0,0,0,0.0,0.0,0.0,0,0.0,49.85,650,1180,0.0,0.0,167.8,650.0,0.0,0.0,0.0,0.0,0.0,0.0
593,-12,221,31.85,6.9,1.1500000000000004,1300,7.15,7.2,650,1200,650.0,103.25,107.6,4550.0,-7.900000000000006,103.35,36.51,4.0,-1.0,44.0
0,0,0,0.0,0.0,0.0,0,0.0,45.05,650,1200,3250.0,89.8,175.7,3250.0,0.0,0.0,0.0,0.0,0.0,0.0
94,-2,30,32.24,4.75,0.8500000000000001,1300,5.0,5.15,1300,1220,,,,,,,,,,
280,-6,51,33.02,3.4,0.75,1950,3.4,3.55,1300,1240,650.0,136.75,145.55,1300.0,0.0,0.0,0.0,0.0,0.0,2.0
0,0,0,0.0,0.0,0.0,0,0.0,29.7,650,1240,3250.0,129.4,172.55,2600.0,0.0,0.0,0.0,0.0,0.0,0.0
122,3,10,33.98,1.6,0.20000000000000018,1300,1.65,1.8,1300,1280,1950.0,174.7,183.9,2600.0,0.0,0.0,0.0,0.0,0.0,2.0
0,0,0,0.0,0.0,0.0,650,2.1,22.05,650,1280,2600.0,171.4,200.75,2600.0,0.0,0.0,0.0,0.0,0.0,0.0
