CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
4.0,0.0,0.0,0.0,0.0,0.0,8000.0,33.45,35.5,16000.0,77.1,0.0,0.0,0.05,104000.0,0.0,0.0,0.0,0.0,0.0,37.0
,,,,,,,,,,81.1,0.0,0.0,0.05,16000.0,0.0,0.0,0.0,0.0,0.0,9.0
,,,,,,,,,,83.1,0.0,0.0,0.1,520000.0,0.0,0.0,0.0,0.0,0.0,6.0
,,,,,,,,,,85.1,0.0,0.0,0.1,520000.0,0.0,0.0,0.0,0.0,0.0,24.0
,,,,,,,,,,87.1,0.0,0.0,0.05,8000.0,0.0,0.0,0.0,0.0,0.0,101.0
,,,,,,,,,,89.1,0.0,0.0,0.1,664000.0,0.0,0.05,41.91,12.0,-10.0,26.0
,,,,,,,,,,89.1,64000.0,0.15,0.25,64000.0,0.0,0.0,0.0,0.0,0.0,3.0
17.0,0.0,0.0,0.0,0.0,0.0,8000.0,21.1,22.3,24000.0,90.0,0.0,0.0,0.1,472000.0,0.0,0.05,40.28,11.0,-5.0,74.0
1.0,0.0,0.0,0.0,0.0,0.0,16000.0,21.45,22.9,16000.0,90.0,88000.0,0.15,0.25,128000.0,0.0,0.0,0.0,0.0,0.0,10.0
14.0,0.0,0.0,0.0,0.0,0.0,24000.0,19.15,20.35,56000.0,92.0,40000.0,0.05,0.1,112000.0,0.0,0.05,36.67,29.0,-6.0,266.0
0.0,0.0,0.0,0.0,0.0,0.0,40000.0,1.4,40.5,40000.0,92.0,88000.0,0.15,2.35,16000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,92.0,8000.0,0.1,1.5,8000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,92.1,112000.0,0.05,0.1,96000.0,0.0,0.1,40.56,1.0,0.0,92.0
,,,,,,,,,,93.1,160000.0,0.05,0.1,104000.0,-0.09999999999999999,0.05,34.71,15.0,0.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,8000.0,17.15,18.35,24000.0,94.0,200000.0,0.05,0.1,8000.0,1.25,1.4,0.0,28.0,0.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.05,38.8,40000.0,94.0,32000.0,0.2,2.35,16000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8000.0,16.15,17.35,24000.0,95.0,48000.0,0.1,0.15,560000.0,0.0,0.1,34.97,7.0,1.0,174.0
0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.05,37.9,40000.0,95.0,64000.0,0.25,1.95,8000.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,8000.0,16.1,17.3,56000.0,95.1,40000.0,0.1,0.15,272000.0,0.0,0.1,34.77,28.0,-13.0,100.0
,,,,,,,,,,95.1,72000.0,0.35,0.45,64000.0,-0.6,0.4,31.65,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,8000.0,15.2,16.35,24000.0,96.0,240000.0,0.1,0.15,288000.0,0.0,0.1,33.05,3.0,-1.0,85.0
