CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,245.0,1900.0,0.05,0.1,1900.0,-0.05000000000000002,0.15,39.37,1.0,0.0,154.0
2.0,0.0,0.0,0.0,0.0,0.0,5700.0,49.0,51.6,7600.0,250.0,237500.0,0.05,0.1,20900.0,0.0,0.1,34.02,15.0,0.0,199.0
0.0,0.0,0.0,0.0,0.0,0.0,7600.0,49.95,54.6,7600.0,250.0,1900.0,0.1,2.4,7600.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,10.0,0.0,39.5,1.1000000000000014,1900.0,39.9,41.45,1900.0,260.0,74100.0,0.1,0.15,13300.0,-0.05000000000000002,0.15,29.38,42.0,-4.0,390.0
0.0,0.0,0.0,0.0,0.0,0.0,26600.0,39.9,44.3,9500.0,260.0,1900.0,0.25,1.3,1900.0,0.0,0.0,0.0,0.0,0.0,5.0
,,,,,,,,,,262.5,22800.0,0.15,0.25,3800.0,-0.2,0.2,27.73,36.0,4.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,5700.0,34.45,36.85,7600.0,265.0,34200.0,0.15,0.2,1900.0,-0.14999999999999997,0.2,27.34,21.0,-4.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,19000.0,34.85,40.45,9500.0,265.0,1900.0,0.1,2.75,19000.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,5700.0,29.65,31.0,1900.0,270.0,83600.0,0.25,0.3,5700.0,-0.09999999999999998,0.25,24.92,94.0,-8.0,437.0
0.0,0.0,0.0,0.0,0.0,0.0,7600.0,30.9,35.1,9500.0,270.0,9500.0,0.85,2.0,1900.0,0.0,0.0,0.0,0.0,0.0,13.0
,,,,,,,,,,272.5,30400.0,0.3,0.35,5700.0,-0.30000000000000004,0.35,24.73,9.0,-8.0,34.0
34.0,0.0,0.0,0.0,0.0,0.0,1900.0,25.25,26.65,1900.0,275.0,5700.0,0.4,0.45,1900.0,-0.14999999999999997,0.45,24.16,37.0,4.0,214.0
0.0,0.0,0.0,0.0,0.0,0.0,7600.0,26.2,30.15,9500.0,275.0,1900.0,1.1,2.0,5700.0,0.0,0.0,0.0,0.0,0.0,32.0
7.0,0.0,0.0,0.0,0.0,0.0,1900.0,22.1,24.65,1900.0,277.5,,,,,,,,,,
115.0,2.0,18.0,16.62,21.4,1.2999999999999972,1900.0,21.25,21.5,1900.0,280.0,57000.0,0.7,0.75,32300.0,-0.19999999999999996,0.8,23.5,177.0,-31.0,490.0
0.0,0.0,0.0,0.0,0.0,0.0,7600.0,22.15,25.6,9500.0,280.0,5700.0,2.3,2.4,5700.0,-0.3999999999999999,2.4,23.64,23.0,15.0,59.0
,,,,,,,,,,280.0,3800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.0,-2.0,13.0,15.5,19.2,1.8999999999999986,1900.0,19.25,19.4,3800.0,282.5,13300.0,0.9,0.95,3800.0,-0.30000000000000004,0.95,22.46,17.0,10.0,65.0
115.0,-5.0,10.0,14.82,16.95,1.1499999999999986,3800.0,16.8,17.0,1900.0,285.0,7600.0,1.2,1.25,11400.0,-0.44999999999999996,1.2,21.82,85.0,0.0,354.0
0.0,0.0,0.0,0.0,0.0,0.0,26600.0,16.45,22.6,9500.0,285.0,1900.0,1.55,4.35,3800.0,0.0,0.0,0.0,0.0,0.0,20.0
100.0,-4.0,18.0,17.52,14.8,1.1500000000000004,1900.0,14.9,15.05,3800.0,287.5,7600.0,1.5,1.6,3800.0,-0.5,1.6,21.64,41.0,-9.0,136.0
869.0,-19.0,178.0,18.15,12.7,0.8499999999999996,1900.0,12.7,12.85,1900.0,290.0,7600.0,2.05,2.1,20900.0,-0.6000000000000001,2.05,21.22,353.0,18.0,1095.0
10.0,0.0,2.0,15.81,15.6,3.75,1900.0,15.55,16.8,7600.0,290.0,1900.0,4.7,4.8,1900.0,-1.0,4.75,23.49,13.0,3.0,63.0
0.0,0.0,0.0,0.0,0.0,0.0,3800.0,10.0,0.0,0.0,290.0,3800.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166.0,-4.0,29.0,18.86,10.95,0.9499999999999993,3800.0,10.95,11.1,1900.0,292.5,7600.0,2.55,2.65,5700.0,-0.7000000000000002,2.65,21.39,58.0,21.0,246.0
433.0,-25.0,341.0,18.06,9.0,0.6500000000000004,7600.0,9.05,9.2,5700.0,295.0,7600.0,3.35,3.45,11400.0,-0.8999999999999999,3.4,21.01,360.0,80.0,472.0
0.0,0.0,0.0,0.0,0.0,0.0,9500.0,10.2,14.85,1900.0,295.0,1900.0,5.2,7.6,1900.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,-50.0,425.0,18.22,7.6,0.6999999999999993,1900.0,7.6,7.7,11400.0,297.5,7600.0,4.15,4.3,9500.0,-1.0999999999999996,4.2,20.85,197.0,-6.0,127.0
2306.0,-83.0,2772.0,18.27,6.1,0.5,36100.0,6.05,6.15,9500.0,300.0,13300.0,5.3,5.4,7600.0,-1.0500000000000007,5.35,20.68,452.0,-14.0,916.0
83.0,2.0,17.0,18.9,10.25,0.6999999999999993,1900.0,10.15,10.4,1900.0,300.0,1900.0,8.65,8.85,1900.0,-1.0999999999999996,8.8,23.93,34.0,5.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,3800.0,10.1,0.0,0.0,300.0,3800.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0,10.0,248.0,18.02,4.95,0.5499999999999998,1900.0,4.9,5.0,1900.0,302.5,5700.0,6.4,6.55,3800.0,-1.1500000000000004,6.55,20.64,118.0,32.0,123.0
608.0,24.0,669.0,18.0,3.75,0.2999999999999998,13300.0,3.7,3.8,13300.0,305.0,5700.0,7.9,8.0,1900.0,-1.1499999999999986,8.05,20.74,100.0,33.0,117.0
0.0,0.0,0.0,0.0,0.0,0.0,1900.0,6.95,8.35,1900.0,305.0,1900.0,9.8,13.15,9500.0,0.0,0.0,0.0,0.0,0.0,0.0
378.0,-1.0,108.0,17.89,2.85,0.20000000000000018,7600.0,2.85,2.95,7600.0,307.5,3800.0,9.35,9.5,1900.0,-1.25,9.6,20.84,29.0,-8.0,31.0
1600.0,-35.0,1245.0,17.7,2.1,0.15000000000000013,57000.0,2.05,2.15,39900.0,310.0,1900.0,11.25,11.35,3800.0,-1.299999999999999,11.3,20.77,112.0,-18.0,261.0
149.0,4.0,35.0,18.92,5.7,0.0,1900.0,5.75,5.95,1900.0,310.0,22800.0,12.25,15.2,11400.0,-12.3,14.2,24.17,2.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,3800.0,8.0,0.0,0.0,310.0,,,,,,,,,,
162.0,8.0,46.0,17.72,1.55,0.10000000000000009,5700.0,1.5,1.6,1900.0,312.5,3800.0,12.95,13.15,1900.0,-1.3499999999999996,13.4,21.41,15.0,5.0,30.0
1689.0,115.0,430.0,17.87,1.1,0.050000000000000044,24700.0,1.05,1.1,24700.0,315.0,1900.0,15.15,15.35,3800.0,-3.5,15.5,22.1,15.0,1.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,1900.0,3.7,5.85,1900.0,315.0,9500.0,14.2,22.25,9500.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,7.0,27.0,18.05,0.8,0.050000000000000044,3800.0,0.8,0.85,5700.0,317.5,15200.0,16.6,18.25,13300.0,0.0,0.0,0.0,0.0,0.0,11.0
841.0,40.0,304.0,18.42,0.6,0.0,36100.0,0.55,0.6,5700.0,320.0,1900.0,19.4,19.8,3800.0,-1.25,19.85,23.21,24.0,-2.0,747.0
4.0,4.0,5.0,19.97,3.2,-8.149999999999999,1900.0,2.7,3.2,1900.0,320.0,9500.0,19.25,23.05,7600.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3800.0,3.3,0.0,0.0,320.0,,,,,,,,,,
112.0,3.0,18.0,18.8,0.45,0.0,1900.0,0.45,0.5,1900.0,322.5,,,,,,,,,,
157.0,3.0,25.0,19.33,0.35,0.0,32300.0,0.35,0.4,13300.0,325.0,1900.0,23.8,25.85,1900.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,3800.0,1.6,3.35,3800.0,325.0,9500.0,23.25,27.9,26600.0,0.0,0.0,0.0,0.0,0.0,0.0
934.0,15.0,65.0,21.67,0.3,0.0,76000.0,0.25,0.3,13300.0,330.0,7600.0,28.7,30.8,13300.0,0.0,0.0,0.0,0.0,0.0,143.0
1.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.95,2.2,1900.0,330.0,9500.0,27.2,31.8,7600.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,11.0,22.0,21.74,0.15,-0.05000000000000002,1900.0,0.15,0.2,76000.0,335.0,,,,,,,,,,
495.0,0.0,8.0,22.84,0.1,-0.04999999999999999,184300.0,0.1,0.15,5700.0,340.0,13300.0,37.95,40.45,5700.0,0.0,0.0,0.0,0.0,0.0,154.0
0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.25,2.3,1900.0,340.0,9500.0,36.45,43.7,9500.0,0.0,0.0,0.0,0.0,0.0,0.0
