CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,312.65,326.55,750.0,1520,7875,0.1,1.55,15000,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,228.3,0.0,0.0,1520,6000,0.1,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,271.75,284.15,750.0,1560,375,0.2,0.75,375,0.0,0.5,31.6,1,1,56
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,278.3,329.65,1500.0,1560,12000,0.1,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,232.8,243.35,750.0,1600,1125,0.6,0.75,375,0.14999999999999997,0.6,28.08,79,-3,313
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,239.85,290.45,1500.0,1600,375,1.25,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,212.2,232.35,1500.0,1620,6000,0.3,7.95,15000,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,220.05,270.25,1500.0,1620,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,192.1,206.6,1500.0,1640,375,1.1,3.85,15000,-0.45000000000000007,0.9,25.33,3,0,118
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,199.85,250.45,1500.0,1640,6000,0.3,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1875.0,173.35,185.7,750.0,1660,375,1.35,2.35,375,-0.75,1.25,24.41,16,-6,122
0.0,0.0,0.0,0.0,0.0,0.0,1500.0,183.2,232.95,3750.0,1660,6000,0.2,35.7,1500,0.0,0.0,0.0,0,0,0
