CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
1.0,0.0,0.0,0.0,0.0,0.0,25.0,5472.1,5710.9,75.0,26000,125.0,12.0,23.95,75.0,0.9000000000000004,13.0,37.45,9.0,-4.0,84.0
,,,,,,,,,,26250,25.0,4.6,17.95,25.0,-6.050000000000001,15.7,36.87,4.0,0.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0,4985.9,5225.9,250.0,26500,600.0,4.55,23.95,25.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,125.0,3789.6,0.0,0.0,26500,,,,,,,,,,
,,,,,,,,,,26750,600.0,5.65,25.95,50.0,0.0,0.0,0.0,0.0,0.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0,4479.7,4747.0,75.0,27000,25.0,15.05,24.95,25.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,125.0,3346.4,0.0,0.0,27000,,,,,,,,,,
,,,,,,,,,,27250,25.0,21.95,23.95,50.0,-1.3500000000000014,20.65,31.91,9.0,-2.0,189.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0,3983.8,4222.7,100.0,27500,600.0,13.15,33.0,25.0,0.0,0.0,0.0,0.0,0.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,125.0,3780.9,0.0,0.0,27500,,,,,,,,,,
,,,,,,,,,,27750,200.0,15.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2.0,0.0,0.0,0.0,0.0,0.0,100.0,3517.95,3748.0,75.0,28000,100.0,31.0,39.75,25.0,-6.850000000000001,31.0,29.08,6.0,0.0,108.0
0.0,0.0,0.0,0.0,0.0,0.0,125.0,3286.3,0.0,0.0,28000,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,100.0,3243.7,3518.05,100.0,28250,25.0,25.05,59.95,100.0,-51.5,18.5,25.03,6.0,1.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,125.0,3039.05,0.0,0.0,28250,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,25.0,3024.4,3236.4,75.0,28500,25.0,36.5,45.2,25.0,-11.949999999999996,32.6,25.95,4.0,0.0,57.0
0.0,0.0,0.0,0.0,0.0,0.0,125.0,2791.75,0.0,0.0,28500,,,,,,,,,,
15.0,0.0,0.0,0.0,0.0,0.0,25.0,2770.4,2914.35,25.0,28750,25.0,34.6,57.35,25.0,0.3500000000000014,57.35,27.29,1.0,0.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,125.0,2544.45,0.0,0.0,28750,,,,,,,,,,
67.0,0.0,1.0,0.0,2600.0,600.0,25.0,2567.95,2698.35,25.0,29000,25.0,60.45,65.2,50.0,-14.100000000000009,61.55,26.01,103.0,-5.0,386.0
