CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,540,1650,0.25,0.3,3300,-0.15,0.15,39.94,1,0,82
0.0,0.0,0.0,0.0,0.0,0.0,2475.0,116.65,122.55,2475.0,560,825,0.45,0.5,3300,0.0,0.45,40.02,6,0,145
0.0,0.0,0.0,0.0,0.0,0.0,3300.0,120.15,135.3,3300.0,560,3300,0.5,8.8,3300,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,2475.0,97.25,103.05,2475.0,580,2475,0.85,0.95,2475,-0.5499999999999999,0.85,37.81,30,-7,241
0.0,0.0,0.0,0.0,0.0,0.0,3300.0,102.0,115.2,825.0,580,825,2.1,8.5,3300,0.0,0.0,0.0,0,0,1
,,,,,,,,,,590,2475,1.2,1.3,1650,-0.5999999999999999,1.3,37.56,76,43,158
97.0,-7.0,31.0,0.0,82.95,10.900000000000006,825.0,80.8,81.15,825.0,600,3300,1.75,1.85,3300,-0.95,1.8,36.67,186,-7,408
0.0,0.0,0.0,0.0,0.0,0.0,3300.0,85.8,92.75,4125.0,600,825,5.6,6.1,1650,-1.5999999999999996,5.9,35.09,42,-3,88
,,,,,,,,,,600,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
11.0,4.0,13.0,0.0,73.0,-1.2000000000000028,825.0,71.6,72.0,825.0,610,1650,2.55,2.65,3300,-1.35,2.6,36.26,49,7,100
0.0,0.0,0.0,0.0,0.0,0.0,8250.0,72.25,89.8,4125.0,610,8250,1.95,12.9,3300,0.0,0.0,0.0,0,0,0
22.0,5.0,19.0,0.0,63.65,0.9499999999999957,1650.0,62.8,63.1,825.0,620,1650,3.65,3.75,4125,-1.8499999999999996,3.7,35.91,256,6,428
0.0,0.0,0.0,0.0,0.0,0.0,3300.0,68.75,76.55,4125.0,620,825,8.55,9.9,825,-2.4499999999999993,9.5,34.91,5,1,23
16.0,0.0,0.0,0.0,0.0,0.0,1650.0,54.1,55.55,3300.0,630,3300,5.15,5.3,3300,-2.3499999999999996,5.2,35.68,153,27,278
0.0,0.0,0.0,0.0,0.0,0.0,3300.0,59.45,74.05,4125.0,630,825,8.4,17.15,3300,0.0,0.0,0.0,0,0,2
70.0,-4.0,22.0,24.73,47.25,6.950000000000003,1650.0,46.55,46.8,1650.0,640,2475,7.25,7.4,3300,-3.1000000000000005,7.2,35.56,235,17,441
0.0,0.0,0.0,0.0,0.0,0.0,4125.0,49.3,62.0,4125.0,640,825,13.3,15.15,825,-3.799999999999999,13.65,33.67,10,-1,29
,,,,,,,,,,640,1650,20.0,55.5,825,-4.199999999999999,26.0,39.26,6,0,3
125.0,-3.0,132.0,26.47,39.8,6.149999999999999,825.0,39.3,39.5,1650.0,650,3300,10.0,10.1,3300,-3.9000000000000004,10.0,35.86,372,39,549
0.0,0.0,0.0,0.0,0.0,0.0,3300.0,48.15,55.9,4125.0,650,3300,17.5,19.0,825,0.0,0.0,0.0,0,0,1
172.0,-1.0,127.0,28.22,33.4,5.449999999999999,825.0,32.75,32.95,825.0,660,2475,13.3,13.45,825,-4.65,13.35,35.95,272,-6,400
0.0,0.0,0.0,0.0,0.0,0.0,3300.0,36.75,58.0,825.0,660,825,16.0,35.45,825,0.0,0.0,0.0,0,0,0
307.0,-77.0,1497.0,29.22,27.05,4.150000000000002,1650.0,26.95,27.05,1650.0,670,825,17.45,17.6,1650,-5.300000000000001,17.5,36.28,529,-5,359
0.0,0.0,0.0,0.0,0.0,0.0,825.0,34.0,50.35,825.0,670,0,0.0,39.95,3300,0.0,0.0,0.0,0,0,0
