CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,2200,1250,0.2,1.75,250,0.0,0.0,0.0,0,0,13
7.0,0.0,0.0,0.0,0.0,0.0,500.0,623.25,646.95,500.0,2600,125,2.25,2.35,125,-0.050000000000000266,2.3,43.6,42,26,80
173.0,0.0,0.0,0.0,0.0,0.0,1250.0,528.15,547.8,125.0,2700,250,4.35,4.5,375,0.9000000000000004,4.45,41.11,199,140,704
0.0,0.0,0.0,0.0,0.0,0.0,500.0,545.6,604.45,500.0,2700,125,8.2,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,375.0,428.55,451.7,125.0,2800,125,6.4,7.05,125,2.75,6.85,37.66,457,67,492
0.0,0.0,0.0,0.0,0.0,0.0,250.0,462.85,506.65,625.0,2800,625,19.65,38.95,125,0.0,0.0,0.0,0,0,0
,,,,,,,,,,2800,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,125.0,381.8,403.4,125.0,2850,125,8.0,8.8,125,2.8499999999999996,7.85,34.95,51,35,53
0.0,0.0,0.0,0.0,0.0,0.0,500.0,409.6,470.95,500.0,2850,625,26.4,54.9,500,0.0,0.0,0.0,0,0,0
189.0,3.0,12.0,35.72,348.6,-63.75,125.0,345.95,349.45,125.0,2900,250,11.4,11.6,125,3.6999999999999993,11.6,34.29,265,88,426
0.0,0.0,0.0,0.0,0.0,0.0,500.0,349.9,410.0,500.0,2900,625,35.05,42.95,125,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,290.15,311.05,375.0,2950,125,15.7,15.95,125,4.9,15.6,33.04,94,28,95
0.0,0.0,0.0,0.0,0.0,0.0,500.0,318.45,389.8,125.0,2950,625,42.45,71.4,500,0.0,0.0,0.0,0,0,0
261.0,-5.0,24.0,33.38,260.0,-61.94999999999999,250.0,257.45,260.05,125.0,3000,125,22.45,22.75,1375,7.1,22.75,32.55,368,18,667
0.0,0.0,0.0,0.0,0.0,0.0,500.0,289.9,332.4,500.0,3000,125,45.3,60.0,125,0.0,0.0,0.0,0,0,1
2.0,0.0,0.0,0.0,0.0,0.0,125.0,210.25,226.4,125.0,3050,125,31.6,32.1,125,10.45,31.75,32.02,49,11,79
0.0,0.0,0.0,0.0,0.0,0.0,500.0,219.1,314.95,125.0,3050,0,0.0,102.2,500,0.0,0.0,0.0,0,0,0
174.0,11.0,25.0,31.06,179.05,-55.099999999999994,125.0,180.25,182.6,125.0,3100,125,44.4,44.8,125,13.700000000000003,44.45,31.85,581,30,622
2.0,0.0,0.0,0.0,0.0,0.0,250.0,225.75,258.5,625.0,3100,125,77.05,82.65,250,27.0,87.0,33.26,11,4,22
56.0,-4.0,22.0,32.16,149.25,-49.05000000000001,250.0,146.9,148.85,125.0,3150,125,60.55,61.2,125,18.4,60.5,31.5,151,28,214
3.0,3.0,4.0,41.43,253.6,-6.400000000000006,125.0,191.45,232.15,125.0,3150,125,72.8,147.65,500,0.0,0.0,0.0,0,0,0
423.0,110.0,423.0,31.45,119.35,-45.650000000000006,250.0,118.45,119.45,125.0,3200,125,81.25,81.75,125,23.85000000000001,81.15,31.53,1122,-24,663
8.0,8.0,10.0,34.19,193.75,-211.89999999999998,125.0,174.55,193.75,125.0,3200,125,110.2,139.75,125,12.799999999999997,132.85,34.38,3,0,4
368.0,126.0,798.0,31.5,94.0,-39.5,125.0,93.8,94.4,125.0,3250,250,106.05,106.7,125,30.150000000000006,106.0,31.86,582,-15,236
8.0,1.0,5.0,33.39,170.9,-45.79999999999998,125.0,133.95,171.2,125.0,3250,125,150.7,178.3,125,-11.800000000000011,162.5,35.54,2,1,2
1980.0,573.0,2842.0,31.86,73.1,-34.150000000000006,250.0,73.1,73.65,125.0,3300,125,135.0,136.05,125,36.2,135.0,31.69,853,223,795
10.0,1.0,3.0,35.6,145.5,-6.0,0.0,0.0,161.6,500.0,3300,125,166.8,190.0,125,0.0,0.0,0.0,0,0,1
776.0,56.0,747.0,32.01,56.75,-26.700000000000003,125.0,56.35,56.85,125.0,3350,125,167.5,169.1,125,45.0,170.65,32.62,38,-5,247
2.0,0.0,1.0,34.23,125.0,-45.099999999999994,500.0,95.25,136.3,125.0,3350,625,178.8,271.7,625,0.0,0.0,0.0,0,0,0
1875.0,266.0,1567.0,32.44,43.6,-21.199999999999996,125.0,43.15,43.55,125.0,3400,125,203.7,207.1,125,50.099999999999994,205.5,31.98,34,-6,169
33.0,12.0,24.0,35.57,112.9,-6.299999999999997,125.0,99.7,110.85,125.0,3400,625,223.55,267.85,500,0.0,0.0,0.0,0,0,0
370.0,23.0,390.0,32.85,32.8,-16.5,125.0,32.75,33.1,375.0,3450,375,240.2,253.4,125,0.0,0.0,0.0,0,0,52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.1,125.0,3450,1250,196.1,340.65,625,0.0,0.0,0.0,0,0,0
1346.0,231.0,1174.0,33.39,24.7,-12.250000000000004,125.0,24.7,24.95,375.0,3500,125,284.6,286.6,125,57.05000000000001,287.0,32.06,73,57,143
0.0,0.0,0.0,0.0,0.0,0.0,125.0,54.05,91.35,125.0,3500,500,276.2,347.2,500,0.0,0.0,0.0,0,0,0
222.0,35.0,129.0,33.94,19.0,-8.649999999999999,250.0,18.85,19.15,125.0,3550,125,327.95,331.5,125,63.89999999999998,321.4,28.65,9,-4,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.7,500.0,3550,625,273.25,419.6,500,0.0,0.0,0.0,0,0,0
1314.0,46.0,587.0,34.66,14.75,-5.550000000000001,500.0,14.55,14.8,625.0,3600,125,373.55,376.9,125,52.900000000000034,374.6,34.25,4,-3,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,375.0,3600,625,322.7,452.4,500,0.0,0.0,0.0,0,0,0
143.0,20.0,67.0,35.52,11.25,-3.9000000000000004,125.0,11.25,11.55,125.0,3650,125,412.5,434.55,125,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.5,500.0,3650,625,372.15,513.35,500,0.0,0.0,0.0,0,0,0
813.0,317.0,787.0,36.67,9.3,-2.299999999999999,250.0,9.3,9.45,500.0,3700,375,460.3,482.5,125,0.0,0.0,0.0,0,0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.55,125.0,3700,625,421.65,547.1,625,0.0,0.0,0.0,0,0,0
682.0,29.0,143.0,38.39,6.0,-0.6500000000000004,250.0,5.75,6.0,1875.0,3800,375,555.55,579.85,125,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.35,500.0,3800,625,520.55,662.0,1250,0.0,0.0,0.0,0,0,0
245.0,10.0,52.0,39.89,3.8,0.09999999999999964,125.0,3.35,3.75,125.0,3900,375,653.25,674.1,500,0.0,0.0,0.0,0,0,5
622.0,8.0,61.0,40.56,2.15,0.04999999999999982,375.0,2.1,2.25,1375.0,4000,375,749.05,773.8,500,0.0,0.0,0.0,0,0,3
79.0,0.0,3.0,44.76,1.2,-0.19999999999999996,125.0,0.5,1.4,125.0,4200,375,945.95,973.4,500,0.0,0.0,0.0,0,0,1
