CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,3150.0,74.55,78.5,1050.0,380,1050.0,1.5,1.6,5250.0,-6.4,1.6,51.14,178.0,110.0,110.0
0.0,0.0,0.0,0.0,0.0,0.0,4200.0,68.0,88.25,5250.0,380,2100.0,0.05,14.5,4200.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,33.0,104.0,27.42,58.6,-6.399999999999999,1050.0,58.1,58.65,2100.0,400,1050.0,2.95,3.0,3150.0,0.8499999999999996,3.05,47.43,726.0,252.0,460.0
0.0,0.0,0.0,0.0,0.0,0.0,1050.0,52.3,65.45,4200.0,400,8400.0,4.5,12.85,1050.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,400,3150.0,6.05,16.0,1050.0,0.40000000000000036,10.0,40.37,2.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,3150.0,47.45,50.9,1050.0,410,6300.0,4.05,4.15,1050.0,1.1500000000000004,4.2,45.7,252.0,89.0,115.0
0.0,0.0,0.0,0.0,0.0,0.0,4200.0,40.45,65.9,4200.0,410,4200.0,2.45,23.2,4200.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,36.8,-37.95,1050.0,39.85,42.2,1050.0,420,4200.0,5.6,5.75,1050.0,0.6000000000000005,5.65,44.36,251.0,-6.0,334.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4,1050.0,420,5250.0,3.0,23.2,4200.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,420,2100.0,7.05,20.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,11.0,34.85,32.5,-5.0,1050.0,33.1,33.55,1050.0,430,1050.0,7.7,7.9,3150.0,1.1500000000000004,7.95,43.11,844.0,49.0,139.0
0.0,0.0,0.0,0.0,0.0,0.0,5250.0,27.85,46.4,1050.0,430,3150.0,9.55,23.2,4200.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,18.0,76.0,35.56,25.6,-18.9,1050.0,26.0,26.4,2100.0,440,1050.0,10.7,10.9,3150.0,1.8499999999999996,11.1,42.4,258.0,39.0,229.0
0.0,0.0,0.0,0.0,0.0,0.0,5250.0,26.1,34.4,1050.0,440,1050.0,18.15,21.4,1050.0,7.0,24.0,50.91,6.0,4.0,12.0
,,,,,,,,,,440,1050.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159.0,94.0,625.0,35.65,20.35,-3.3999999999999986,1050.0,20.05,20.35,2100.0,450,2100.0,14.4,14.65,2100.0,1.8000000000000007,14.55,41.76,653.0,97.0,519.0
4.0,2.0,4.0,28.53,24.85,-5.949999999999999,1050.0,22.85,26.3,1050.0,450,1050.0,20.0,27.5,1050.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,57.0,678.0,35.75,15.3,-2.849999999999998,2100.0,15.1,15.35,2100.0,460,1050.0,19.4,19.6,2100.0,2.3000000000000007,19.45,42.18,391.0,-17.0,404.0
1.0,0.0,0.0,0.0,0.0,0.0,1050.0,18.0,22.0,1050.0,460,1050.0,27.4,31.5,1050.0,4.350000000000001,31.25,47.4,5.0,0.0,11.0
427.0,14.0,822.0,36.27,11.2,-2.4000000000000004,3150.0,11.05,11.3,4200.0,470,1050.0,25.25,25.6,1050.0,3.549999999999997,26.15,42.66,136.0,-8.0,204.0
0.0,0.0,0.0,0.0,0.0,0.0,4200.0,9.3,21.4,1050.0,470,5250.0,25.35,42.6,5250.0,0.0,0.0,0.0,0.0,0.0,0.0
839.0,236.0,1337.0,36.75,7.9,-2.1500000000000004,2100.0,8.05,8.25,3150.0,480,1050.0,32.1,32.55,1050.0,3.799999999999997,33.15,44.6,98.0,-9.0,244.0
1.0,0.0,0.0,0.0,0.0,0.0,1050.0,11.1,15.2,1050.0,480,5250.0,37.15,46.55,10500.0,0.0,0.0,0.0,0.0,0.0,2.0
270.0,30.0,256.0,36.85,5.8,-1.4500000000000002,5250.0,5.65,5.85,5250.0,490,1050.0,39.65,40.2,1050.0,6.800000000000004,40.6,44.55,16.0,4.0,37.0
0.0,0.0,0.0,0.0,0.0,0.0,4200.0,6.45,13.6,1050.0,490,5250.0,28.05,57.25,5250.0,0.0,0.0,0.0,0.0,0.0,0.0
738.0,-26.0,922.0,37.52,4.0,-1.25,2100.0,4.0,4.1,7350.0,500,1050.0,47.9,48.45,1050.0,4.700000000000003,48.85,46.01,44.0,9.0,194.0
19.0,0.0,2.0,31.62,8.0,-2.0500000000000007,1050.0,8.1,10.0,1050.0,500,1050.0,55.3,61.05,2100.0,0.0,0.0,0.0,0.0,0.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,,,,,,,,,,
194.0,16.0,148.0,37.79,2.65,-1.0,2100.0,2.75,2.85,4200.0,510,2100.0,56.55,57.2,1050.0,15.25,57.75,48.36,16.0,7.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,1050.0,5.35,9.65,1050.0,510,5250.0,58.85,74.65,5250.0,0.0,0.0,0.0,0.0,0.0,0.0
204.0,21.0,181.0,38.48,1.85,-0.7999999999999998,6300.0,1.9,2.05,5250.0,520,1050.0,65.7,66.3,1050.0,6.299999999999997,67.3,52.19,9.0,1.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,1050.0,3.9,11.95,1050.0,520,5250.0,67.15,84.25,5250.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520,,,,,,,,,,
117.0,15.0,86.0,39.25,1.3,-0.55,4200.0,1.3,1.45,4200.0,530,1050.0,75.0,75.7,2100.0,35.2,76.2,53.11,17.0,10.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,4200.0,1.4,8.95,1050.0,530,5250.0,76.0,89.85,10500.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,22.0,77.0,40.74,1.0,-0.30000000000000004,3150.0,0.95,1.05,3150.0,540,1050.0,84.6,85.35,1050.0,19.25,86.3,58.24,11.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.3,10.55,4200.0,540,5250.0,86.45,100.6,5250.0,0.0,0.0,0.0,0.0,0.0,0.0
230.0,0.0,19.0,41.9,0.75,-0.25,2100.0,0.7,0.8,3150.0,550,4200.0,93.5,97.4,3150.0,0.0,0.0,0.0,0.0,0.0,1.0
46.0,6.0,11.0,42.16,0.5,-0.30000000000000004,1050.0,0.45,0.6,10500.0,560,14700.0,102.45,106.55,1050.0,10.450000000000003,108.05,74.25,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.65,6.45,2100.0,560,5250.0,104.95,120.8,5250.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.2,0.6,10500.0,570,,,,,,,,,,
2.0,0.0,2.0,43.48,0.25,-0.8500000000000001,1050.0,0.2,0.5,1050.0,580,,,,,,,,,,
5.0,0.0,0.0,0.0,0.0,0.0,7350.0,0.05,0.9,2100.0,590,,,,,,,,,,
103.0,-11.0,14.0,47.32,0.2,-0.09999999999999998,4200.0,0.15,0.25,2100.0,600,,,,,,,,,,
,,,,,,,,,,620,4200.0,161.7,166.65,4200.0,0.0,0.0,0.0,0.0,0.0,5.0
