CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1400,350.0,0.6,0.7,700.0,-0.09999999999999998,0.6,33.78,87.0,-19.0,89.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,229.7,241.8,1050.0,1440,1400.0,0.85,0.95,1400.0,0.15000000000000002,0.9,30.99,105.0,0.0,137.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,236.9,254.05,1400.0,1440,350.0,1.45,4.0,700.0,0.0,0.0,0.0,0.0,0.0,2.0
,,,,,,,,,,1440,14000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3150.0,190.55,202.5,1050.0,1480,700.0,1.2,1.4,700.0,0.15000000000000013,1.35,28.08,151.0,-1.0,677.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,197.7,226.35,1400.0,1480,700.0,0.25,15.95,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,1050.0,169.8,181.65,1400.0,1500,3500.0,2.0,2.1,1050.0,0.04999999999999982,2.05,27.94,1197.0,88.0,1569.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,179.75,209.3,1750.0,1500,1400.0,2.1,17.9,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,155.55,163.25,700.0,1520,1050.0,2.5,2.6,1050.0,0.0,2.55,26.54,358.0,-9.0,122.0
0.0,0.0,0.0,0.0,0.0,0.0,1400.0,158.1,191.5,1750.0,1520,700.0,0.25,19.9,1400.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,1520,14000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,11.0,17.0,0.0,138.2,3.1499999999999773,350.0,137.9,138.85,350.0,1540,2100.0,3.45,3.55,2450.0,-0.050000000000000266,3.55,25.7,582.0,-118.0,658.0
