CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,350.0,600.15,627.25,700.0,3600,350.0,3.05,8.5,175.0,0.0,0.0,0.0,0.0,0.0,56.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,606.5,0.0,0.0,3600,,,,,,,,,,
,,,,,,,,,,3700,175.0,7.75,16.85,175.0,0.0,0.0,0.0,0.0,0.0,19.0
4.0,0.0,0.0,0.0,0.0,0.0,875.0,417.75,444.75,175.0,3800,525.0,20.2,21.05,350.0,-0.40000000000000213,20.7,36.18,40.0,-5.0,65.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,408.7,0.0,0.0,3800,,,,,,,,,,
3.0,0.0,0.0,0.0,0.0,0.0,175.0,332.7,368.15,525.0,3900,175.0,10.1,46.0,175.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,309.8,0.0,0.0,3900,,,,,,,,,,
,,,,,,,,,,3950,175.0,9.85,56.45,175.0,0.0,0.0,0.0,0.0,0.0,3.0
9.0,0.0,0.0,0.0,0.0,0.0,525.0,256.8,280.25,175.0,4000,175.0,55.9,56.5,525.0,-1.0999999999999943,56.7,34.98,32.0,3.0,138.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,208.85,0.0,0.0,4000,,,,,,,,,,
4.0,0.0,0.0,0.0,0.0,0.0,525.0,187.35,211.05,175.0,4100,175.0,87.05,90.05,175.0,0.8499999999999943,87.35,34.9,11.0,3.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.95,175.0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,350.0,158.9,184.8,175.0,4150,175.0,106.8,108.85,175.0,-5.699999999999989,105.15,33.76,12.0,2.0,32.0
73.0,34.0,108.0,32.73,145.0,-4.550000000000011,175.0,145.8,148.85,175.0,4200,1575.0,130.0,131.55,175.0,-3.5999999999999943,130.0,34.19,84.0,13.0,190.0
