CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,98.55,103.15,10000.0,540,20000.0,0.2,0.65,2000.0,0.0,0.0,0.0,0.0,0.0,38.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,100.45,125.35,4000.0,540,15000.0,0.1,19.2,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,79.05,83.45,1000.0,560,4000.0,0.5,1.4,3000.0,0.0,0.0,0.0,0.0,0.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,80.55,105.4,4000.0,560,15000.0,0.1,19.2,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.0,10.0,0.0,71.1,5.049999999999997,1000.0,71.15,72.1,1000.0,570,4000.0,1.3,1.45,2000.0,-0.3500000000000001,1.15,31.06,8.0,1.0,82.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,69.7,97.25,1000.0,570,0.0,0.0,19.2,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,-1.0,3.0,21.4,62.3,1.9499999999999957,1000.0,60.45,63.95,1000.0,580,2000.0,1.95,2.05,3000.0,-0.40000000000000013,1.95,31.12,18.0,-14.0,45.0
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,60.8,85.8,4000.0,580,15000.0,0.15,19.2,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,1000.0,51.5,55.25,1000.0,590,2000.0,2.85,2.95,3000.0,-0.44999999999999973,2.85,29.76,25.0,8.0,37.0
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,50.65,75.9,4000.0,590,15000.0,0.15,19.2,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,-1.0,7.0,22.56,43.9,4.699999999999996,1000.0,44.3,45.05,2000.0,600,1000.0,4.15,4.2,1000.0,-0.7999999999999998,4.05,29.62,91.0,-3.0,346.0
1.0,0.0,0.0,0.0,0.0,0.0,2000.0,47.05,64.7,2000.0,600,1000.0,5.2,18.0,1000.0,0.0,0.0,0.0,0.0,0.0,5.0
13.0,1.0,3.0,27.88,37.7,7.200000000000003,1000.0,35.5,37.85,1000.0,610,2000.0,6.0,6.15,1000.0,-1.0499999999999998,6.0,28.89,31.0,-6.0,125.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,32.85,56.0,4000.0,610,4000.0,0.65,19.3,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,3.0,27.35,30.2,7.199999999999999,2000.0,28.0,30.35,1000.0,620,2000.0,8.6,8.8,2000.0,-1.4000000000000004,8.75,28.79,127.0,-23.0,236.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,32.5,43.7,5000.0,620,1000.0,10.4,16.9,1000.0,0.0,0.0,0.0,0.0,0.0,6.0
64.0,-9.0,30.0,27.46,23.85,4.400000000000002,8000.0,21.2,23.5,1000.0,630,2000.0,12.05,12.25,1000.0,-2.4000000000000004,12.0,28.45,110.0,-30.0,202.0
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,20.8,42.5,1000.0,630,0.0,0.0,35.45,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
303.0,2.0,292.0,25.88,17.35,2.8000000000000007,1000.0,17.2,17.4,1000.0,640,2000.0,16.45,16.75,1000.0,-3.3000000000000007,16.2,28.2,116.0,14.0,264.0
0.0,0.0,0.0,0.0,0.0,0.0,4000.0,12.8,34.35,1000.0,640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377.0,5.0,236.0,25.94,13.0,2.4000000000000004,1000.0,12.6,12.9,1000.0,650,1000.0,21.35,22.4,1000.0,-4.800000000000001,21.65,27.97,15.0,1.0,244.0
0.0,0.0,0.0,0.0,0.0,0.0,10000.0,12.95,28.1,1000.0,650,0.0,0.0,35.65,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
182.0,-6.0,98.0,26.04,9.2,1.4499999999999993,1000.0,9.0,9.3,1000.0,660,2000.0,28.2,29.5,2000.0,-5.649999999999999,27.35,27.1,3.0,0.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,5000.0,15.0,26.55,1000.0,660,5000.0,25.4,47.45,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
221.0,18.0,88.0,25.2,5.95,0.5,1000.0,6.3,6.55,2000.0,670,7000.0,33.75,37.2,7000.0,0.0,0.0,0.0,0.0,0.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,3.3,31.05,4000.0,670,0.0,0.0,58.35,4000.0,0.0,0.0,0.0,0.0,0.0,0.0
229.0,0.0,85.0,26.07,4.5,0.7000000000000002,1000.0,4.35,4.5,2000.0,680,3000.0,43.2,44.3,1000.0,-6.399999999999999,42.0,26.72,4.0,0.0,43.0
