CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
11,0,0,0.0,0.0,0.0,1400,356.3,368.3,350,1400,3500,0.15,1.95,350,0.0,0.0,0.0,0,0,16
3,0,0,0.0,0.0,0.0,1050,314.4,329.7,1050,1440,1400,0.2,3.0,350,0.0,0.0,0.0,0,0,53
3,0,0,0.0,0.0,0.0,1400,275.3,290.7,1050,1480,1750,0.35,3.5,350,0.0,0.0,0.0,0,0,222
3,0,0,0.0,0.0,0.0,1750,257.55,269.4,1050,1500,350,1.15,2.15,350,-0.30000000000000004,1.3,34.61,1,0,98
1,0,0,0.0,0.0,0.0,1050,235.5,251.75,350,1520,350,0.9,4.5,350,0.0,0.0,0.0,0,0,47
1,0,0,0.0,0.0,0.0,1750,217.95,233.2,1050,1540,350,1.75,5.35,14000,0.0,0.0,0.0,0,0,36
0,0,0,0.0,0.0,0.0,350,198.45,211.3,350,1560,350,2.85,3.0,350,-0.75,3.0,32.29,5,-1,36
0,0,0,0.0,0.0,0.0,350,180.9,193.1,350,1580,350,3.55,5.7,350,0.0,0.0,0.0,0,0,15
51,0,0,0.0,0.0,0.0,350,161.15,171.9,2800,1600,700,5.5,5.7,350,-0.7999999999999998,5.2,30.83,98,56,246
13,0,0,0.0,0.0,0.0,1400,145.45,154.6,1400,1620,1050,7.4,7.7,1050,-0.7999999999999998,7.3,30.72,10,-1,71
24,0,0,0.0,0.0,0.0,1050,127.85,140.0,350,1640,350,10.1,10.35,350,-0.20000000000000107,10.45,31.03,23,9,93
86,2,6,22.83,116.95,-2.950000000000003,350,115.15,116.95,350,1660,350,13.5,13.85,350,-0.6999999999999993,13.05,30.09,44,5,236
55,0,0,0.0,0.0,0.0,350,97.6,106.95,700,1680,350,17.95,18.3,350,-0.5500000000000007,17.65,31.18,19,-2,283
250,1,60,26.5,86.65,-11.649999999999991,350,85.5,86.9,350,1700,350,23.4,23.9,350,0.4499999999999993,23.5,30.5,197,-7,635
109,0,9,24.68,72.65,-4.599999999999994,700,72.85,73.65,350,1720,700,30.4,30.75,700,0.8999999999999986,30.4,29.87,168,37,233
225,4,65,25.82,61.75,-4.400000000000006,700,61.3,61.95,350,1740,350,38.45,38.85,700,1.3000000000000043,38.45,30.61,206,-33,161
365,47,278,27.01,51.5,-4.5,700,51.0,51.45,350,1760,700,48.05,48.45,700,0.6999999999999957,47.3,31.15,220,-49,232
324,28,221,27.21,42.35,-3.8999999999999986,1050,41.95,42.35,350,1780,700,59.0,59.3,700,0.8000000000000043,58.1,31.21,51,0,155
1136,60,990,27.38,35.0,-2.6499999999999986,700,34.2,34.5,1400,1800,350,71.0,71.45,350,1.0999999999999943,70.1,31.63,102,-3,428
299,-21,280,27.67,28.15,-1.75,350,27.55,27.95,350,1820,350,84.25,85.35,350,2.200000000000003,83.15,32.04,65,-13,83
377,7,293,27.95,22.5,-1.6499999999999986,350,22.0,22.3,700,1840,2450,94.95,104.25,1400,0.0,0.0,0.0,0,0,40
413,1,99,28.05,17.75,-2.0,350,17.35,17.8,350,1860,2800,109.75,119.9,350,0.0,0.0,0.0,0,0,24
176,-10,38,28.51,14.05,-1.5,1400,13.65,13.95,350,1880,1400,125.4,136.0,350,0.0,0.0,0.0,0,0,21
501,-40,374,28.8,11.0,-1.0999999999999996,1400,10.75,11.05,350,1900,350,146.75,148.4,350,7.0,147.65,36.43,11,-1,87
231,-5,21,28.71,8.2,-1.25,700,8.3,8.55,350,1920,1400,159.0,170.35,700,0.0,0.0,0.0,0,0,5
52,-1,3,29.35,6.6,-1.0500000000000007,1050,6.55,6.8,700,1940,350,177.3,189.6,350,0.0,0.0,0.0,0,0,0
377,-15,179,29.88,5.2,-0.25,1050,5.0,5.2,350,1960,350,195.1,207.7,350,0.0,0.0,0.0,0,0,2
10,0,0,0.0,0.0,0.0,350,3.25,4.85,350,1980,350,213.95,225.65,350,0.0,0.0,0.0,0,0,0
106,0,31,31.43,3.2,-0.2999999999999998,1750,3.1,3.25,700,2000,350,232.5,243.9,350,0.0,0.0,0.0,0,0,0
61,9,19,31.41,2.65,-0.050000000000000266,350,2.45,2.7,350,2020,350,252.0,265.15,350,0.0,0.0,0.0,0,0,0
27,0,1,32.39,2.3,0.0,350,1.55,2.15,350,2040,1050,272.0,283.25,1400,0.0,0.0,0.0,0,0,0
0,0,0,0.0,0.0,0.0,3500,0.65,3.65,1750,2060,1400,289.95,306.2,1400,0.0,0.0,0.0,0,0,0
