CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,1650.0,175.85,185.1,2200.0,920,8800.0,0.05,0.95,550.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2750.0,141.75,237.15,550.0,920,6600.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2750.0,156.65,165.7,2200.0,940,2200.0,0.2,0.95,550.0,0.0,0.0,0.0,0.0,0.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,2750.0,124.0,217.5,550.0,940,6600.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2200.0,137.15,145.75,2200.0,960,2750.0,0.2,0.45,2200.0,-0.25,0.25,25.2,8.0,-1.0,416.0
0.0,0.0,0.0,0.0,0.0,0.0,2200.0,141.9,175.2,2200.0,960,11000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,970,12100.0,0.25,0.5,2200.0,-0.35,0.4,25.16,17.0,1.0,287.0
43.0,0.0,0.0,0.0,0.0,0.0,2200.0,118.3,126.4,2750.0,980,10450.0,0.4,0.65,1650.0,-0.29999999999999993,0.4,23.45,11.0,0.0,1026.0
0.0,0.0,0.0,0.0,0.0,0.0,2200.0,121.8,156.45,5500.0,980,11550.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2200.0,108.7,116.35,1650.0,990,550.0,0.7,0.8,550.0,-0.30000000000000004,0.8,24.33,10.0,-1.0,569.0
0.0,0.0,0.0,0.0,0.0,0.0,2200.0,111.9,146.0,2200.0,990,19800.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159.0,0.0,0.0,0.0,0.0,0.0,550.0,99.45,106.75,4400.0,1000,1100.0,1.15,1.25,1100.0,-0.3500000000000001,1.15,24.05,143.0,-30.0,312.0
0.0,0.0,0.0,0.0,0.0,0.0,2200.0,106.95,134.4,2200.0,1000,550.0,3.6,25.0,550.0,0.0,0.0,0.0,0.0,0.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,550.0,102.0,0.0,0.0,1000,550.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
