CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,3200.0,123.35,128.9,3200.0,580,13600.0,0.2,0.7,1600.0,-3.35,0.65,41.86,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,126.6,136.7,3200.0,580,800.0,0.1,6.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3200.0,103.7,109.0,3200.0,600,1600.0,0.75,0.95,3200.0,-0.050000000000000044,0.75,36.63,13.0,-4.0,170.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,107.1,118.95,3200.0,600,800.0,0.35,8.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,600,32000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,800.0,84.45,89.3,800.0,620,1600.0,1.35,1.45,800.0,0.30000000000000004,1.25,33.68,8.0,3.0,54.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,89.0,99.15,3200.0,620,800.0,2.1,8.0,800.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,620,32000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1600.0,75.15,80.35,800.0,630,1600.0,1.9,2.0,800.0,-0.5999999999999999,1.7,32.56,5.0,0.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,79.45,89.1,11200.0,630,800.0,2.4,7.85,800.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1600.0,65.9,70.8,800.0,640,2400.0,2.7,2.8,800.0,-0.3999999999999999,2.65,32.46,56.0,3.0,326.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,72.95,79.3,3200.0,640,800.0,5.0,7.95,800.0,-1.9499999999999993,8.0,32.51,1.0,0.0,11.0
,,,,,,,,,,640,800.0,2.0,15.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,3200.0,57.6,61.0,800.0,650,3200.0,3.85,3.95,800.0,-0.5,3.95,32.62,192.0,12.0,339.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,62.2,82.0,3200.0,650,800.0,5.05,22.05,3200.0,0.0,0.0,0.0,0.0,0.0,2.0
50.0,0.0,0.0,0.0,0.0,0.0,800.0,48.95,52.9,800.0,660,3200.0,5.35,5.5,7200.0,-0.8499999999999996,5.4,31.84,160.0,30.0,416.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,53.6,72.65,3200.0,660,800.0,5.95,22.05,3200.0,0.0,0.0,0.0,0.0,0.0,8.0
16.0,0.0,3.0,29.71,44.25,3.3999999999999986,800.0,43.1,43.7,800.0,670,1600.0,7.35,7.5,800.0,-1.049999999999999,7.4,31.71,143.0,-21.0,247.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,41.05,60.85,3200.0,670,3200.0,3.6,19.5,800.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,1.0,37.0,26.85,35.85,0.9500000000000028,800.0,35.65,36.1,800.0,680,2400.0,9.95,10.15,6400.0,-1.3000000000000007,10.1,31.26,315.0,-104.0,955.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,39.95,51.25,8000.0,680,800.0,12.1,19.8,800.0,-0.5,16.5,29.75,2.0,1.0,15.0
56.0,9.0,32.0,28.2,29.45,1.25,800.0,29.2,29.55,1600.0,690,5600.0,13.3,13.55,800.0,-1.6000000000000014,13.45,31.17,121.0,1.0,256.0
