CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,2880,875.0,1.35,1.45,350.0,0.19999999999999996,1.4,32.16,125.0,27.0,160.0
0.0,0.0,0.0,0.0,0.0,0.0,350.0,458.6,475.35,350.0,2920,1225.0,1.95,2.55,5250.0,1.1,2.35,31.06,292.0,73.0,283.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,387.4,644.1,875.0,2920,350.0,2.0,10.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,350.0,419.05,436.4,700.0,2960,875.0,2.55,2.65,525.0,0.6500000000000001,2.6,29.98,364.0,31.0,278.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,351.6,604.7,875.0,2960,175.0,6.8,7.55,175.0,1.2000000000000002,6.8,25.55,24.0,19.0,48.0
,,,,,,,,,,2960,175.0,5.0,37.5,350.0,0.0,0.0,0.0,0.0,0.0,0.0
307.0,6.0,47.0,0.0,393.15,-27.850000000000023,175.0,386.55,393.85,175.0,3000,1050.0,3.6,3.7,350.0,0.75,3.65,29.37,2494.0,-2.0,3198.0
167.0,27.0,40.0,0.0,395.0,-50.0,700.0,403.8,421.25,350.0,3000,175.0,9.7,9.85,175.0,2.0,9.75,25.14,155.0,123.0,134.0
0.0,0.0,0.0,0.0,0.0,0.0,175.0,344.45,358.9,175.0,3040,8750.0,5.0,5.05,350.0,1.0499999999999998,5.0,28.73,976.0,105.0,1173.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,283.6,526.8,175.0,3040,700.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,175.0,299.45,323.8,175.0,3080,525.0,7.25,7.35,175.0,1.2999999999999998,7.3,28.31,1506.0,545.0,1464.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,251.8,488.5,175.0,3080,700.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,175.0,264.6,283.15,175.0,3120,350.0,10.05,10.1,175.0,1.5999999999999996,10.1,27.56,1682.0,429.0,2164.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,221.7,444.95,875.0,3120,350.0,19.85,20.4,350.0,2.4499999999999993,20.45,23.87,191.0,99.0,402.0
,,,,,,,,,,3120,1225.0,25.0,36.0,1225.0,1.0,36.0,23.94,1.0,0.0,1.0
,,,,,,,,,,3140,525.0,11.95,12.1,175.0,1.9499999999999993,12.2,27.59,479.0,106.0,552.0
4.0,0.0,0.0,0.0,0.0,0.0,175.0,229.15,247.6,175.0,3160,525.0,14.1,14.3,175.0,2.0,14.25,27.43,562.0,105.0,1152.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,236.75,299.55,700.0,3160,175.0,10.2,48.85,700.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,350.0,212.3,230.1,175.0,3180,175.0,16.7,16.9,175.0,2.4000000000000004,16.75,27.05,525.0,110.0,520.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,219.55,279.15,700.0,3180,175.0,10.2,48.75,700.0,0.0,0.0,0.0,0.0,0.0,0.0
353.0,75.0,215.0,12.98,208.3,-21.799999999999983,175.0,207.55,208.75,175.0,3200,1225.0,20.0,20.15,700.0,2.8500000000000014,20.1,26.87,5927.0,639.0,5195.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,219.75,247.0,700.0,3200,175.0,33.7,34.0,3325.0,4.850000000000001,34.0,23.8,474.0,116.0,1286.0
,,,,,,,,,,3200,350.0,41.55,52.0,525.0,2.0,50.0,23.13,11.0,10.0,15.0
22.0,22.0,34.0,16.03,188.4,-164.15,350.0,191.05,192.65,175.0,3220,350.0,23.25,23.45,350.0,3.25,23.5,26.75,871.0,-54.0,624.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,195.05,258.95,700.0,3220,175.0,25.25,65.35,700.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,18.0,25.0,17.46,175.2,-19.900000000000006,175.0,175.2,176.8,175.0,3240,525.0,27.2,27.45,700.0,3.6999999999999993,27.3,26.51,1234.0,-102.0,908.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,175.15,243.05,700.0,3240,175.0,25.15,70.7,700.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,20.0,25.0,18.76,160.0,-26.400000000000006,350.0,159.9,161.25,175.0,3260,175.0,31.75,31.95,350.0,4.25,32.15,26.56,1011.0,198.0,870.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,157.4,225.85,700.0,3260,175.0,27.2,72.8,700.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,-3.0,50.0,19.05,145.45,-19.950000000000017,525.0,145.2,146.6,350.0,3280,175.0,36.95,37.3,350.0,4.799999999999997,37.4,26.33,1612.0,400.0,810.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,163.9,190.75,700.0,3280,175.0,54.7,55.8,175.0,4.799999999999997,55.0,23.43,34.0,19.0,102.0
1116.0,231.0,1062.0,20.09,131.65,-18.599999999999994,175.0,131.5,132.05,700.0,3300,525.0,43.05,43.3,700.0,5.200000000000003,43.2,26.35,9843.0,1238.0,6428.0
21.0,9.0,16.0,17.2,164.3,-20.69999999999999,175.0,166.45,169.7,175.0,3300,175.0,61.45,62.7,175.0,7.25,61.55,23.76,356.0,166.0,378.0
144.0,63.0,178.0,20.25,117.6,-19.05000000000001,175.0,118.15,119.0,175.0,3320,175.0,49.4,49.75,175.0,6.0,49.6,26.18,1026.0,132.0,617.0
0.0,0.0,0.0,0.0,0.0,0.0,875.0,136.4,167.2,875.0,3320,175.0,67.65,69.7,175.0,18.75,73.45,24.5,2.0,0.0,8.0
