CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
0.0,0.0,0.0,0.0,0.0,0.0,200.0,393.7,417.55,600.0,2500,200.0,3.35,6.45,200.0,0.20000000000000018,6.75,40.19,4.0,0.0,109.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,398.15,651.65,200.0,2500,,,,,,,,,,
,,,,,,,,,,2550,200.0,7.75,12.65,200.0,0.0,0.0,0.0,0.0,0.0,38.0
17.0,0.0,0.0,0.0,0.0,0.0,600.0,303.65,320.45,600.0,2600,200.0,12.7,13.85,200.0,-0.3000000000000007,13.0,37.63,22.0,14.0,216.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,299.25,546.0,200.0,2600,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,600.0,257.3,283.85,600.0,2650,200.0,18.5,20.6,200.0,5.449999999999999,20.0,37.72,17.0,8.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,249.75,496.9,200.0,2650,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,600.0,217.05,239.0,600.0,2700,200.0,27.45,28.45,200.0,4.550000000000001,29.0,37.53,19.0,-5.0,166.0
0.0,0.0,0.0,0.0,0.0,0.0,1000.0,201.0,0.0,0.0,2700,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,200.0,158.35,236.35,200.0,2750,200.0,19.35,53.95,200.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750,,,,,,,,,,
32.0,0.0,0.0,0.0,0.0,0.0,600.0,144.9,166.1,200.0,2800,200.0,53.6,55.05,200.0,7.549999999999997,56.25,37.36,34.0,11.0,248.0
0.0,0.0,0.0,0.0,0.0,0.0,800.0,161.0,0.0,0.0,2800,200.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
10.0,0.0,1.0,31.91,126.15,-12.049999999999983,200.0,121.25,129.85,400.0,2850,200.0,72.35,74.45,200.0,8.0,75.0,37.26,41.0,-4.0,79.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.3,200.0,2850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.0,3.0,86.0,32.09,97.55,-17.299999999999997,200.0,97.75,99.0,200.0,2900,200.0,95.4,97.35,400.0,13.049999999999997,95.6,38.21,63.0,46.0,250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,23.0,93.0,32.19,78.2,-10.899999999999991,400.0,76.15,77.55,200.0,2950,1000.0,119.45,124.45,200.0,23.349999999999994,130.0,39.35,8.0,3.0,137.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.4,200.0,2950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513.0,37.0,273.0,32.67,59.0,-9.599999999999994,400.0,57.8,59.3,200.0,3000,200.0,154.4,157.25,400.0,14.349999999999994,160.0,39.4,42.0,-1.0,315.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159.0,10.0,26.0,32.51,44.5,-7.600000000000001,200.0,44.1,45.15,200.0,3050,200.0,187.65,200.7,800.0,0.0,0.0,0.0,0.0,0.0,81.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.95,200.0,3050,0.0,0.0,370.65,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
635.0,131.0,290.0,34.05,34.55,-3.6000000000000014,200.0,33.15,34.4,200.0,3100,200.0,223.85,238.15,200.0,0.0,0.0,0.0,0.0,0.0,224.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100,800.0,165.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,-89.0,130.0,34.53,25.65,-4.600000000000001,200.0,25.45,26.25,200.0,3150,200.0,263.2,283.85,200.0,0.0,0.0,0.0,0.0,0.0,50.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.3,200.0,3150,1000.0,213.25,450.15,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
722.0,0.0,149.0,35.8,19.75,-2.6499999999999986,200.0,19.7,20.35,200.0,3200,1000.0,309.85,325.65,200.0,0.0,0.0,0.0,0.0,0.0,89.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200,800.0,265.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255.0,-1.0,26.0,35.72,13.95,-3.8500000000000014,200.0,14.15,16.05,200.0,3250,200.0,351.15,374.35,200.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,200.0,3250,800.0,315.75,534.95,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
327.0,-9.0,150.0,37.73,12.05,-0.09999999999999964,200.0,11.7,12.2,200.0,3300,200.0,393.6,421.1,200.0,0.0,0.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.85,200.0,3300,1000.0,361.65,568.65,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,200.0,7.75,11.6,200.0,3350,200.0,443.8,468.55,200.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.45,200.0,3350,800.0,411.2,614.3,200.0,0.0,0.0,0.0,0.0,0.0,0.0
253.0,17.0,78.0,39.98,7.75,-0.5,200.0,7.45,7.85,200.0,3400,200.0,492.5,514.95,200.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.45,200.0,3400,800.0,460.5,668.7,200.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,-1.0,2.0,40.13,3.9,0.44999999999999973,200.0,4.1,5.75,200.0,3500,600.0,589.35,610.6,800.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,200.0,1.05,39.95,200.0,3500,800.0,564.5,705.5,200.0,0.0,0.0,0.0,0.0,0.0,0.0
