CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,600,6525,0.1,1.85,2175,0.0,0.0,0.0,0,0,1
,,,,,,,,,,720,725,0.5,1.8,725,0.0,0.0,0.0,0,0,5
,,,,,,,,,,780,7250,1.1,2.8,725,0.0,0.0,0.0,0,0,26
3.0,0.0,0.0,0.0,0.0,0.0,725.0,146.4,152.9,725.0,800,2175,2.3,2.45,2900,0.0,2.35,44.24,314,-120,582
0.0,0.0,0.0,0.0,0.0,0.0,7250.0,143.8,178.0,2900.0,800,0,0.0,24.0,3625,0.0,0.0,0.0,0,0,0
,,,,,,,,,,820,725,3.0,4.25,1450,-0.04999999999999982,3.5,42.87,14,0,60
0.0,0.0,0.0,0.0,0.0,0.0,725.0,109.05,116.75,725.0,840,725,4.5,5.95,725,0.40000000000000036,5.9,43.24,50,-29,86
0.0,0.0,0.0,0.0,0.0,0.0,725.0,104.35,169.4,2900.0,840,0,0.0,55.0,3625,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,725.0,92.25,99.65,725.0,860,725,7.5,8.15,725,0.0,7.9,41.0,30,-4,213
0.0,0.0,0.0,0.0,0.0,0.0,2900.0,83.7,154.85,2900.0,860,0,0.0,60.0,3625,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,0.0,0.0,725.0,76.05,83.15,2175.0,880,725,11.0,12.1,725,-1.1499999999999986,10.8,39.09,9,2,193
0.0,0.0,0.0,0.0,0.0,0.0,7250.0,64.65,135.95,2900.0,880,0,0.0,60.0,3625,0.0,0.0,0.0,0,0,0
141.0,0.0,5.0,45.97,69.9,-0.25,725.0,63.05,66.8,725.0,900,725,16.7,17.0,725,-0.3500000000000014,16.7,39.79,90,1,1067
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.8,725.0,900,0,0.0,56.5,3625,0.0,0.0,0.0,0,0,0
111.0,-3.0,12.0,46.16,57.7,5.0,725.0,51.1,54.35,4350.0,920,725,23.85,24.55,725,-0.1999999999999993,23.6,39.65,40,-5,109
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.1,725.0,920,0,0.0,68.45,2900,0.0,0.0,0.0,0,0,0
458.0,-2.0,263.0,40.5,41.65,0.0,1450.0,41.35,41.95,725.0,940,725,32.85,33.65,725,-0.29999999999999716,32.85,40.23,85,9,196
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,1450.0,940,0,0.0,83.0,2175,0.0,0.0,0.0,0,0,0
898.0,74.0,755.0,40.86,32.2,-0.25,725.0,32.05,32.45,725.0,960,725,43.25,44.3,725,1.0499999999999972,44.05,41.05,52,2,169
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,725.0,960,0,0.0,83.2,2900,0.0,0.0,0.0,0,0,0
568.0,-12.0,159.0,40.7,24.6,-0.5499999999999972,725.0,24.4,25.0,725.0,980,2175,54.8,57.7,725,0.0,0.0,0.0,0,0,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.55,725.0,980,0,0.0,82.0,725,0.0,0.0,0.0,0,0,0
1060.0,-8.0,400.0,40.89,18.3,-0.34999999999999787,5800.0,18.25,18.45,725.0,1000,725,68.95,70.5,725,0.04999999999999716,69.0,40.23,5,-3,43
17.0,0.0,0.0,0.0,0.0,0.0,725.0,36.95,39.0,725.0,1000,0,0.0,91.65,2900,0.0,0.0,0.0,0,0,0
158.0,4.0,46.0,40.58,13.25,-0.8000000000000007,1450.0,13.25,13.95,725.0,1020,725,82.15,88.2,725,0.0,0.0,0.0,0,0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2900.0,1020,0,0.0,116.65,2900,0.0,0.0,0.0,0,0,0
298.0,-2.0,84.0,41.75,10.2,-0.05000000000000071,725.0,9.4,10.15,725.0,1040,725,99.55,104.4,1450,0.0,0.0,0.0,0,0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.55,725.0,1040,0,0.0,134.7,3625,0.0,0.0,0.0,0,0,0
17.0,1.0,7.0,42.5,7.65,0.40000000000000036,1450.0,6.2,7.15,1450.0,1060,2175,114.65,121.4,725,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.35,725.0,1060,2900,103.0,152.75,3625,0.0,0.0,0.0,0,0,0
523.0,-1.0,420.0,41.19,4.95,-0.25,2900.0,4.7,4.95,2175.0,1080,725,131.85,140.65,725,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,1450.0,1080,3625,122.0,171.65,7250,0.0,0.0,0.0,0,0,0
