CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,2800,3150.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,536.05,557.95,700.0,2900,875.0,1.3,2.9,350.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,544.8,591.15,700.0,2900,2800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,486.3,507.8,525.0,2950,175.0,2.0,2.2,525.0,1.65,1.95,32.4,214.0,74.0,74.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,494.4,541.65,700.0,2950,14000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,1.0,5.0,0.0,445.0,-10.0,175.0,445.05,450.55,175.0,3000,875.0,2.5,3.1,525.0,1.1500000000000004,3.7,29.77,839.0,259.0,651.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,452.2,491.3,700.0,3000,175.0,5.05,20.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,3000,350.0,12.25,0.0,0.0,0.0,10.55,22.5,1.0,0.0,0.0
,,,,,,,,,,3040,350.0,2.95,3.1,350.0,-0.10000000000000009,2.9,28.32,207.0,39.0,215.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,389.05,410.95,525.0,3050,175.0,3.15,3.3,525.0,2.05,3.0,28.13,78.0,0.0,39.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,396.8,452.85,700.0,3050,1400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,3080,175.0,3.65,3.8,175.0,-0.3500000000000001,3.6,26.52,78.0,-5.0,411.0
0.0,0.0,0.0,0.0,0.0,0.0,175.0,339.05,362.65,175.0,3100,175.0,4.4,4.45,175.0,-2.6000000000000005,4.35,26.63,240.0,125.0,146.0
1.0,0.0,0.0,0.0,0.0,0.0,700.0,357.7,401.75,350.0,3100,175.0,6.05,30.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,7.0,0.0,330.2,-247.8,175.0,328.7,332.15,175.0,3120,525.0,5.0,5.1,350.0,-0.7999999999999998,4.7,25.87,221.0,-67.0,298.0
0.0,0.0,0.0,0.0,0.0,0.0,175.0,291.1,315.4,525.0,3150,525.0,6.35,6.5,175.0,-1.4000000000000004,6.3,25.29,140.0,67.0,102.0
0.0,0.0,0.0,0.0,0.0,0.0,1750.0,310.25,366.35,700.0,3150,1225.0,11.35,44.7,700.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,3180,700.0,8.0,8.2,175.0,-1.3500000000000005,7.45,24.44,110.0,-32.0,451.0
18.0,7.0,22.0,19.05,257.75,-9.050000000000011,175.0,253.8,256.35,525.0,3200,175.0,9.8,9.95,1050.0,-1.200000000000001,9.85,24.19,1796.0,-399.0,1633.0
0.0,0.0,0.0,0.0,0.0,0.0,700.0,276.65,303.25,700.0,3200,175.0,29.0,29.55,175.0,-0.5,29.45,24.46,116.0,15.0,235.0
,,,,,,,,,,3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
