CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
1.0,0.0,0.0,0.0,0.0,0.0,1000.0,749.55,775.0,1000.0,2600,6000.0,0.2,1.0,250.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,0.0,0.0,0.0,750.0,549.0,575.55,1000.0,2800,5000.0,0.55,1.85,250.0,-0.1499999999999999,1.85,36.6,3.0,0.0,16.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,561.25,0.0,0.0,2800,6000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,750.0,451.55,476.4,1000.0,2900,1500.0,2.0,4.5,500.0,0.0,0.0,0.0,0.0,0.0,67.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,462.35,0.0,0.0,2900,6000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,1000.0,405.95,428.8,1000.0,2950,250.0,2.95,6.8,5000.0,1.2000000000000002,4.7,32.58,16.0,0.0,187.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,412.9,0.0,0.0,2950,6000.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2.0,4.0,0.0,366.1,113.25000000000003,500.0,362.6,378.95,500.0,3000,250.0,5.55,5.7,500.0,0.14999999999999947,5.6,30.93,50.0,2.0,195.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,378.45,0.0,0.0,3000,250.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,500.0,311.7,335.95,750.0,3050,250.0,8.1,8.4,250.0,-0.1999999999999993,8.0,29.19,9.0,-1.0,63.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,326.2,0.0,0.0,3050,,,,,,,,,,
12.0,1.0,3.0,26.23,284.1,-1.75,250.0,273.6,280.45,250.0,3100,250.0,12.1,12.3,250.0,-1.6999999999999993,12.3,28.4,140.0,37.0,260.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,276.75,0.0,0.0,3100,,,,,,,,,,
5.0,0.0,0.0,0.0,0.0,0.0,500.0,222.45,243.2,750.0,3150,250.0,17.95,18.4,250.0,-3.349999999999998,18.1,27.74,28.0,6.0,65.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,227.3,0.0,0.0,3150,,,,,,,,,,
94.0,1.0,11.0,15.02,179.7,13.099999999999994,250.0,187.15,192.45,500.0,3200,250.0,26.85,27.4,250.0,-5.25,27.1,27.37,180.0,62.0,301.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,177.8,0.0,0.0,3200,,,,,,,,,,
80.0,0.0,0.0,0.0,0.0,0.0,500.0,148.45,158.9,500.0,3250,250.0,38.7,39.95,250.0,-7.700000000000003,38.55,27.15,21.0,2.0,116.0
1.0,0.0,0.0,0.0,0.0,0.0,250.0,148.4,300.55,1000.0,3250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
185.0,-5.0,86.0,22.97,119.0,14.849999999999994,500.0,119.0,122.1,250.0,3300,250.0,55.5,57.5,250.0,-9.75,55.0,27.08,80.0,8.0,266.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,150.0,0.0,0.0,3300,1000.0,52.7,169.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
259.0,12.0,408.0,23.8,91.0,13.549999999999997,250.0,91.2,92.35,250.0,3350,250.0,76.8,78.5,500.0,-13.099999999999994,78.5,27.72,70.0,-4.0,151.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,101.9,162.95,250.0,3350,0.0,0.0,158.05,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
1056.0,-20.0,429.0,24.3,68.8,10.399999999999999,750.0,68.25,69.3,250.0,3400,500.0,103.15,106.0,250.0,-15.200000000000003,104.2,27.91,43.0,0.0,424.0
5.0,-1.0,5.0,24.34,122.0,6.0,250.0,118.15,129.55,250.0,3400,1000.0,115.7,157.45,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
390.0,-15.0,142.0,24.25,50.85,7.200000000000003,500.0,50.4,51.55,250.0,3450,500.0,129.2,140.7,250.0,12.650000000000006,137.5,29.15,1.0,0.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,250.0,37.45,137.05,1000.0,3450,1000.0,108.35,215.4,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
1020.0,-48.0,240.0,25.15,37.0,5.149999999999999,250.0,37.3,38.6,250.0,3500,2250.0,166.15,179.15,500.0,0.0,0.0,0.0,0.0,0.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.5,250.0,3500,0.0,0.0,267.15,250.0,0.0,0.0,0.0,0.0,0.0,0.0
243.0,22.0,70.0,26.02,26.5,3.6499999999999986,250.0,26.65,27.45,250.0,3550,250.0,208.4,214.7,250.0,14.049999999999983,214.45,31.79,3.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3550,0.0,0.0,312.45,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
958.0,26.0,272.0,26.32,19.1,3.400000000000002,250.0,18.85,19.1,750.0,3600,1250.0,244.45,264.0,250.0,0.0,0.0,0.0,0.0,0.0,6.0
,,,,,,,,,,3600,1000.0,201.2,360.95,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
206.0,32.0,58.0,27.17,14.0,2.4000000000000004,250.0,13.9,14.1,250.0,3650,500.0,291.6,301.75,250.0,-8.600000000000023,303.7,36.05,1.0,0.0,1.0
,,,,,,,,,,3650,1000.0,256.45,412.65,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
367.0,-10.0,87.0,28.19,10.3,1.6500000000000004,500.0,10.45,10.7,500.0,3700,1250.0,335.3,356.0,500.0,0.0,0.0,0.0,0.0,0.0,6.0
,,,,,,,,,,3700,1000.0,305.9,462.1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,4.0,29.0,29.08,7.95,1.7000000000000002,500.0,7.85,8.05,250.0,3750,250.0,381.9,402.55,500.0,0.0,0.0,0.0,0.0,0.0,5.0
,,,,,,,,,,3750,1000.0,354.95,511.55,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
467.0,-9.0,556.0,30.05,6.1,0.7999999999999998,250.0,6.05,6.15,750.0,3800,250.0,426.8,452.35,250.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,1.1,0.0,0.0,3800,1000.0,404.4,561.05,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,-9.0,15.0,31.74,3.55,1.0,250.0,2.5,3.9,250.0,3900,750.0,523.7,547.45,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.3,0.0,0.0,3900,1000.0,502.4,656.85,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
