CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,1040,375,0.25,0.6,750,0.0,0.0,0.0,0,0,53
,,,,,,,,,,1080,12375,0.15,0.9,750,0.0,0.0,0.0,0,0,40
17.0,0.0,0.0,0.0,0.0,0.0,3750.0,264.4,272.7,1125.0,1100,11250,0.45,0.95,375,0.10000000000000003,0.45,39.87,84,47,160
7.0,0.0,0.0,0.0,0.0,0.0,1500.0,243.95,254.7,2625.0,1120,750,0.5,1.0,750,0.0,0.0,0.0,0,0,86
0.0,0.0,0.0,0.0,0.0,0.0,375.0,248.9,276.35,1875.0,1120,750,0.25,16.35,1500,0.0,0.0,0.0,0,0,0
,,,,,,,,,,1120,12000,0.05,0.0,0,0.0,0.0,0.0,0,0,0
2.0,0.0,0.0,0.0,0.0,0.0,1500.0,225.2,233.8,1500.0,1140,4875,0.5,1.4,375,0.0,0.0,0.0,0,0,124
1.0,0.0,0.0,0.0,0.0,0.0,1500.0,205.4,214.15,1500.0,1160,12000,0.6,1.65,375,0.0,0.0,0.0,0,0,191
0.0,0.0,0.0,0.0,0.0,0.0,375.0,209.75,236.8,1875.0,1160,750,0.6,16.35,1500,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,0.0,0.0,1500.0,185.15,196.4,1125.0,1180,375,0.9,1.15,375,-0.5999999999999999,1.05,32.59,9,-1,197
0.0,0.0,0.0,0.0,0.0,0.0,375.0,189.8,217.0,1875.0,1180,750,1.2,16.35,1500,0.0,0.0,0.0,0,0,0
101.0,0.0,0.0,0.0,0.0,0.0,1125.0,164.55,173.5,1875.0,1200,1125,1.45,1.5,375,-0.5,1.45,31.29,52,-11,556
0.0,0.0,0.0,0.0,0.0,0.0,375.0,174.85,190.4,1875.0,1200,375,6.05,9.5,375,0.0,0.0,0.0,0,0,46
98.0,0.0,0.0,0.0,0.0,0.0,750.0,146.85,154.2,2250.0,1220,11625,1.7,2.05,375,-0.050000000000000044,1.95,29.81,16,-14,620
0.0,0.0,0.0,0.0,0.0,0.0,375.0,154.3,184.95,1875.0,1220,0,0.0,22.35,1500,0.0,0.0,0.0,0,0,0
111.0,0.0,0.0,0.0,0.0,0.0,375.0,127.8,135.95,3375.0,1240,750,2.9,3.0,1125,0.1499999999999999,3.05,29.29,24,-7,192
0.0,0.0,0.0,0.0,0.0,0.0,375.0,134.55,168.6,1875.0,1240,0,0.0,25.8,1500,0.0,0.0,0.0,0,0,0
135.0,0.0,0.0,0.0,0.0,0.0,3750.0,109.75,115.4,375.0,1260,2250,4.25,4.4,2250,0.25,4.35,28.23,66,-14,217
0.0,0.0,0.0,0.0,0.0,0.0,375.0,114.75,152.75,1875.0,1260,0,0.0,29.75,1500,0.0,0.0,0.0,0,0,0
233.0,-4.0,5.0,0.0,94.5,2.299999999999997,375.0,95.3,96.2,375.0,1280,375,6.35,6.5,750,0.5499999999999998,6.6,27.77,81,-9,652
0.0,0.0,0.0,0.0,0.0,0.0,375.0,94.95,137.6,1875.0,1280,0,0.0,34.35,1500,0.0,0.0,0.0,0,0,0
725.0,-6.0,34.0,17.03,80.0,-6.099999999999994,375.0,78.5,79.45,375.0,1300,750,9.6,9.75,375,0.1999999999999993,9.45,27.14,488,-67,1654
1.0,0.0,0.0,0.0,0.0,0.0,375.0,75.2,122.95,1875.0,1300,0,0.0,39.5,1500,0.0,0.0,0.0,0,0,0
471.0,-42.0,99.0,21.58,64.8,-6.1000000000000085,375.0,63.55,64.25,375.0,1320,375,14.4,14.65,1125,0.75,14.15,27.17,154,15,674
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,1875.0,1320,0,0.0,45.35,1500,0.0,0.0,0.0,0,0,0
667.0,-28.0,256.0,22.52,50.95,-6.199999999999996,375.0,50.3,50.8,750.0,1340,375,20.95,21.2,375,1.3000000000000007,20.75,27.36,302,-54,387
0.0,0.0,0.0,0.0,0.0,0.0,375.0,54.5,92.05,1875.0,1340,0,0.0,51.95,1500,0.0,0.0,0.0,0,0,0
782.0,32.0,1053.0,23.41,39.5,-5.299999999999997,750.0,39.0,39.3,375.0,1360,375,29.4,29.7,375,2.0,29.15,27.52,368,-31,506
1.0,0.0,1.0,25.27,65.0,5.0,375.0,58.1,67.6,375.0,1360,375,47.4,54.85,375,-8.649999999999999,46.35,29.38,1,0,16
991.0,172.0,1704.0,23.94,29.85,-4.549999999999997,375.0,29.4,29.7,1125.0,1380,375,39.7,40.1,750,3.1500000000000057,39.95,27.97,303,-34,384
0.0,0.0,0.0,0.0,0.0,0.0,375.0,45.9,56.75,375.0,1380,375,44.35,69.65,1500,0.0,0.0,0.0,0,0,0
1912.0,143.0,2305.0,24.29,21.7,-4.300000000000001,375.0,21.7,21.9,750.0,1400,375,51.8,52.0,375,3.4499999999999957,51.55,28.67,127,39,703
177.0,58.0,141.0,25.64,45.9,-2.950000000000003,375.0,44.65,45.6,375.0,1400,375,68.95,72.0,375,-1.0,69.0,30.77,50,47,126
,,,,,,,,,,1400,6000,70.3,100.0,5625,0.0,0.0,0.0,0,0,0
526.0,3.0,853.0,24.43,15.65,-3.4999999999999982,1125.0,15.5,15.75,750.0,1420,750,65.05,67.4,375,1.6999999999999957,62.4,27.03,11,3,102
0.0,0.0,0.0,0.0,0.0,0.0,375.0,34.7,51.4,375.0,1420,3750,65.5,103.45,1500,0.0,0.0,0.0,0,0,0
573.0,86.0,501.0,24.99,11.25,-2.5999999999999996,375.0,11.05,11.2,1125.0,1440,375,80.65,83.5,375,0.0,0.0,0.0,0,0,46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.05,375.0,1440,1500,66.2,127.45,1500,0.0,0.0,0.0,0,0,0
505.0,8.0,244.0,24.86,7.65,-2.25,750.0,7.7,7.85,375.0,1460,2250,95.0,101.55,750,0.0,0.0,0.0,0,0,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.75,375.0,1460,1500,85.85,134.75,1500,0.0,0.0,0.0,0,0,0
408.0,2.0,238.0,25.4,5.35,-1.6000000000000005,1500.0,5.45,5.55,375.0,1480,375,114.5,117.3,750,1.7999999999999972,110.1,27.86,4,-2,178
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.65,375.0,1480,1500,105.65,129.9,375,0.0,0.0,0.0,0,0,0
20.0,0.0,103.0,26.6,3.95,-19.8,750.0,3.85,3.95,1125.0,1500,1125,127.75,138.35,375,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2,375.0,1500,1500,125.45,169.9,1875,0.0,0.0,0.0,0,0,0
