CALLS_OI,CALLS_Change_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Chng,CALLS_BidQty,CALLS_Bid,CALLS_Ask,CALLS_AskQty,Strike Price,PUTS_BidQty,PUTS_Bid,PUTS_Ask,PUTS_AskQty,PUTS_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Change_in_OI,PUTS_OI
,,,,,,,,,,200.0,0.0,0.0,0.1,441000.0,0.0,0.05,48.1,23.0,0.0,214.0
,,,,,,,,,,205.0,75000.0,0.05,0.1,390000.0,0.0,0.0,0.0,0.0,0.0,57.0
,,,,,,,,,,210.0,180000.0,0.05,0.1,462000.0,0.0,0.0,0.0,0.0,0.0,110.0
1.0,0.0,0.0,0.0,0.0,0.0,12000.0,49.95,52.0,12000.0,215.0,27000.0,0.05,0.1,183000.0,0.0,0.05,37.47,63.0,0.0,188.0
13.0,0.0,0.0,0.0,0.0,0.0,12000.0,45.0,47.0,9000.0,220.0,306000.0,0.05,0.1,396000.0,0.05,0.1,37.17,44.0,0.0,490.0
,,,,,,,,,,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9000.0,39.65,41.85,12000.0,225.0,21000.0,0.15,0.2,81000.0,0.04999999999999999,0.15,33.54,236.0,-29.0,481.0
0.0,0.0,0.0,0.0,0.0,0.0,15000.0,27.35,65.7,15000.0,225.0,12000.0,0.85,0.95,138000.0,0.050000000000000044,0.9,33.97,57.0,-21.0,206.0
51.0,0.0,0.0,0.0,0.0,0.0,36000.0,34.9,37.1,21000.0,230.0,51000.0,0.25,0.3,72000.0,0.09999999999999998,0.3,34.56,280.0,0.0,605.0
0.0,0.0,0.0,0.0,0.0,0.0,15000.0,22.8,61.2,15000.0,230.0,3000.0,0.7,1.25,9000.0,-6.0,1.1,32.31,1.0,0.0,0.0
,,,,,,,,,,230.0,3000.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,12000.0,30.5,32.15,12000.0,235.0,21000.0,0.45,0.5,30000.0,0.2,0.5,34.96,157.0,-26.0,344.0
0.0,0.0,0.0,0.0,0.0,0.0,12000.0,31.55,34.35,12000.0,235.0,15000.0,1.0,2.5,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,5.0,0.0,26.85,-6.600000000000001,3000.0,28.75,29.4,3000.0,237.5,6000.0,0.65,0.7,18000.0,0.25,0.65,34.74,72.0,8.0,87.0
140.0,10.0,33.0,0.0,26.95,-4.050000000000001,3000.0,26.55,26.85,3000.0,240.0,27000.0,0.85,0.9,36000.0,0.4,0.9,35.16,427.0,-8.0,704.0
0.0,0.0,0.0,0.0,0.0,0.0,12000.0,27.35,28.85,12000.0,240.0,9000.0,2.05,2.1,3000.0,0.44999999999999996,2.0,30.7,81.0,27.0,292.0
,,,,,,,,,,240.0,3000.0,3.5,7.05,3000.0,-1.5499999999999998,4.05,32.02,3.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,3000.0,23.75,25.4,9000.0,242.5,12000.0,1.1,1.2,18000.0,0.5,1.2,34.59,43.0,-5.0,72.0
0.0,0.0,0.0,0.0,0.0,0.0,30000.0,23.45,29.15,12000.0,242.5,6000.0,1.15,4.65,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,3000.0,21.6,23.15,21000.0,245.0,15000.0,1.45,1.5,18000.0,0.5499999999999999,1.45,34.86,264.0,71.0,361.0
0.0,0.0,0.0,0.0,0.0,0.0,12000.0,21.65,27.05,12000.0,245.0,6000.0,1.15,5.25,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,245.0,33000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,17.0,27.0,0.0,18.45,-2.900000000000002,6000.0,20.1,20.6,6000.0,247.5,12000.0,1.85,1.95,18000.0,0.8499999999999999,1.95,35.6,48.0,-7.0,82.0
0.0,0.0,0.0,0.0,0.0,0.0,12000.0,19.5,24.75,12000.0,247.5,12000.0,1.4,5.4,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
217.0,0.0,47.0,0.0,18.7,-3.1999999999999993,6000.0,18.15,18.35,3000.0,250.0,36000.0,2.35,2.45,42000.0,0.8999999999999999,2.4,35.17,365.0,2.0,641.0
21.0,21.0,26.0,13.41,21.6,2.400000000000002,3000.0,20.1,20.9,6000.0,250.0,3000.0,4.2,4.3,3000.0,1.2000000000000002,4.2,31.53,51.0,7.0,158.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11.1,0.0,0.0,250.0,3000.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,27.0,37.0,0.0,15.95,-3.8500000000000014,3000.0,16.25,16.45,3000.0,252.5,3000.0,2.95,3.0,9000.0,1.0,2.9,35.19,69.0,-7.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,12000.0,16.8,21.3,12000.0,252.5,12000.0,3.2,7.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,24.0,49.0,0.0,13.0,-4.800000000000001,3000.0,14.45,14.65,3000.0,255.0,36000.0,3.6,3.7,21000.0,1.1999999999999997,3.65,35.74,397.0,20.0,181.0
0.0,0.0,0.0,0.0,0.0,0.0,12000.0,16.0,17.9,12000.0,255.0,3000.0,5.4,5.95,3000.0,0.5999999999999996,5.0,29.68,1.0,0.0,2.0
,,,,,,,,,,255.0,27000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,14.0,39.0,17.35,12.8,-3.5500000000000007,3000.0,12.8,12.95,12000.0,257.5,27000.0,4.4,4.5,3000.0,1.4000000000000004,4.4,36.46,115.0,2.0,84.0
0.0,0.0,0.0,0.0,0.0,0.0,12000.0,13.65,18.1,12000.0,257.5,3000.0,4.9,8.9,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
335.0,22.0,157.0,21.75,11.35,-2.700000000000001,6000.0,11.2,11.35,9000.0,260.0,33000.0,5.3,5.4,21000.0,1.6499999999999995,5.35,36.06,757.0,-19.0,631.0
19.0,0.0,2.0,15.8,14.2,-2.9499999999999993,3000.0,13.95,14.35,3000.0,260.0,6000.0,7.7,7.9,3000.0,1.8499999999999996,7.8,32.62,52.0,27.0,113.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,6.2,0.0,0.0,260.0,3000.0,1.0,20.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
105.0,26.0,118.0,22.06,9.9,-2.5999999999999996,6000.0,9.75,9.9,12000.0,262.5,24000.0,6.35,6.45,9000.0,1.8500000000000005,6.4,36.5,402.0,14.0,172.0
0.0,0.0,0.0,0.0,0.0,0.0,12000.0,11.15,15.15,3000.0,262.5,3000.0,6.8,10.85,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
455.0,98.0,891.0,23.49,8.5,-2.3499999999999996,18000.0,8.45,8.55,21000.0,265.0,21000.0,7.5,7.6,15000.0,2.1999999999999993,7.6,37.1,968.0,-31.0,472.0
3.0,0.0,0.0,0.0,0.0,0.0,3000.0,11.45,11.95,6000.0,265.0,3000.0,9.65,10.3,3000.0,-12.15,11.1,36.2,5.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,0.0,6000.0,3.1,0.0,0.0,265.0,3000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390.0,73.0,627.0,23.98,7.3,-2.1499999999999995,15000.0,7.25,7.35,21000.0,267.5,54000.0,8.75,8.85,6000.0,2.250000000000001,8.8,37.48,447.0,-13.0,207.0
0.0,0.0,0.0,0.0,0.0,0.0,12000.0,8.75,11.05,6000.0,267.5,3000.0,9.2,12.95,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
1533.0,207.0,2182.0,24.61,6.25,-1.8499999999999996,33000.0,6.15,6.25,21000.0,270.0,15000.0,10.15,10.3,15000.0,2.4000000000000004,10.05,37.46,669.0,29.0,609.0
60.0,11.0,32.0,21.46,9.35,-2.450000000000001,6000.0,9.15,9.35,3000.0,270.0,6000.0,12.3,13.9,6000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11.4,37.9,3000.0,270.0,3000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285.0,17.0,488.0,25.61,5.2,-1.6499999999999995,27000.0,5.15,5.25,12000.0,272.5,6000.0,11.7,11.85,3000.0,3.799999999999999,12.7,42.4,104.0,-11.0,118.0
3.0,0.0,0.0,0.0,0.0,0.0,3000.0,7.95,8.5,18000.0,272.5,12000.0,13.35,15.6,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
539.0,72.0,1219.0,25.5,4.4,-1.3999999999999995,12000.0,4.35,4.4,18000.0,275.0,9000.0,13.3,13.45,3000.0,3.049999999999999,13.45,39.75,102.0,-14.0,131.0
2.0,0.0,0.0,0.0,0.0,0.0,3000.0,7.0,7.55,3000.0,275.0,12000.0,14.85,17.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,36000.0,1.8,34.1,18000.0,275.0,42000.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
